qchr	qpos	direction	id	gid	gchr	gbeg	gend	qchr.g	marker	qpos.g	qleft.g	qright.g	LOD	ADD	Rsqure	type	type2	mid
1	25873139	-1	10374	Zm00001d042872	3	182589306	182591372	1	252	235.3	233.2	236.3	5.89	-0.24	0.16	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	26490	Zm00001d044780	9	2209294	2213288	1	252	235.3	233.2	236.3	6.43	-0.43	0.2	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	27245	Zm00001d046348	9	82565083	82571140	1	252	235.3	233.5	236.3	6.81	-0.12	0.18	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	12326	Zm00001d049717	4	41321308	41324964	1	252	235.3	233.2	236.3	6.58	-0.34	0.18	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	13534	Zm00001d052107	4	179834335	179840234	1	252	235.3	233.5	236.4	7.82	-0.42	0.24	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	13788	Zm00001d052462	4	190492832	190496934	1	252	236.3	233.2	244.6	5.35	-0.22	0.14	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	14188	Zm00001d053109	4	214211925	214218577	1	252	235.3	233.5	242.6	7.86	-0.48	0.19	trans	trans	trans-eQTL-B.hs02
1	25873139	-1	14424	Zm00001d053585	4	235371631	235376042	1	252	235.3	233.2	236.3	7.97	-0.7	0.06	trans	trans	trans-eQTL-B.hs02
2	3369070	-1	4897	Zm00001d001858	2	2031382	2034507	2	44	63.6	58.8	69.6	7.91	-0.41	0.22	cis	cis	trans-eQTL-B.hs03
2	3369070	-1	6514	Zm00001d004672	2	129375198	129376361	2	44	63.6	58.8	64.7	6.18	-0.21	0.17	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	7035	Zm00001d005762	2	187005829	187013142	2	44	63.6	56.8	64.6	4.64	-0.59	0.13	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	7539	Zm00001d006520	2	210399298	210402238	2	44	63.6	57.8	64.7	5.33	-0.48	0.15	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	24889	Zm00001d010336	8	110250082	110255517	2	44	63.6	56.8	64.6	5.69	-0.49	0.14	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	25759	Zm00001d011812	8	161927179	161929095	2	44	63.6	57.8	69.6	5.28	-0.37	0.14	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	14958	Zm00001d012888	5	1612077	1615249	2	44	63.6	57.8	69.6	5.59	-0.39	0.17	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	17007	Zm00001d016134	5	146042173	146043738	2	44	63.6	55.8	69.6	6.1	-0.73	0.13	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	17085	Zm00001d016301	5	156275281	156276773	2	44	64.6	63.6	68.5	6.71	-0.16	0.1	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	17825	Zm00001d017441	5	195906689	195909170	2	44	64.6	62.8	71.7	4.55	-0.35	0.13	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	18004	Zm00001d017840	5	208461206	208462369	2	44	63.6	58.8	69.6	4.55	-3.16	0.07	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	21778	Zm00001d019563	7	42951695	42954861	2	44	63.6	59.8	70.9	5.58	-10.68	0.16	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	22130	Zm00001d020461	7	116267722	116270986	2	44	63.6	59.8	71.7	4.27	-1.33	0.1	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	22382	Zm00001d020852	7	134723869	134728829	2	44	63.6	57.8	69.6	6.64	-0.86	0.04	trans	trans	trans-eQTL-B.hs03
2	3369070	-1	23367	Zm00001d022241	7	173464337	173466095	2	44	63.6	59.9	64.7	6.12	-1.56	0.18	trans	trans	trans-eQTL-B.hs03
