mid	gid	funcat	opt
trans-eQTL-B.hs07	Zm00001d043235		trans-eQTL
trans-eQTL-B.hs07	Zm00001d044033		trans-eQTL
trans-eQTL-B.hs07	Zm00001d048795		trans-eQTL
trans-eQTL-B.hs07	Zm00001d049166		trans-eQTL
trans-eQTL-B.hs07	Zm00001d052776		trans-eQTL
trans-eQTL-B.hs08	Zm00001d003068		trans-eQTL
trans-eQTL-B.hs08	Zm00001d003104		trans-eQTL
trans-eQTL-B.hs08	Zm00001d006573		trans-eQTL
trans-eQTL-B.hs08	Zm00001d006618		trans-eQTL
trans-eQTL-B.hs08	Zm00001d006657		trans-eQTL
trans-eQTL-B.hs08	Zm00001d009480		trans-eQTL
trans-eQTL-B.hs08	Zm00001d009978		trans-eQTL
trans-eQTL-B.hs08	Zm00001d010918		trans-eQTL
trans-eQTL-B.hs08	Zm00001d011217		trans-eQTL
trans-eQTL-B.hs08	Zm00001d015006		trans-eQTL
trans-eQTL-B.hs08	Zm00001d015475		trans-eQTL
trans-eQTL-B.hs08	Zm00001d015804		trans-eQTL
trans-eQTL-B.hs08	Zm00001d019122		trans-eQTL
trans-eQTL-B.hs08	Zm00001d020790		trans-eQTL
trans-eQTL-B.hs08	Zm00001d022371		trans-eQTL
trans-eQTL-B.hs08	Zm00001d025305		trans-eQTL
trans-eQTL-B.hs08	Zm00001d035084		trans-eQTL
trans-eQTL-B.hs08	Zm00001d039131		trans-eQTL
trans-eQTL-B.hs08	Zm00001d039276		trans-eQTL
trans-eQTL-B.hs08	Zm00001d043165		trans-eQTL
trans-eQTL-B.hs08	Zm00001d043827		trans-eQTL
trans-eQTL-B.hs08	Zm00001d045404		trans-eQTL
trans-eQTL-B.hs08	Zm00001d048710		trans-eQTL
trans-eQTL-B.hs08	Zm00001d049560		trans-eQTL
trans-eQTL-B.hs08	Zm00001d049651		trans-eQTL
trans-eQTL-B.hs08	Zm00001d053644		trans-eQTL
trans-eQTL-B.hs09	Zm00001d002090		trans-eQTL
trans-eQTL-B.hs09	Zm00001d006717		trans-eQTL
trans-eQTL-B.hs09	Zm00001d006721		trans-eQTL
trans-eQTL-B.hs09	Zm00001d006737		trans-eQTL
trans-eQTL-B.hs09	Zm00001d006744		trans-eQTL
trans-eQTL-B.hs09	Zm00001d006776		trans-eQTL
trans-eQTL-B.hs09	Zm00001d008759		trans-eQTL
trans-eQTL-B.hs09	Zm00001d010650		trans-eQTL
trans-eQTL-B.hs09	Zm00001d012911		trans-eQTL
trans-eQTL-B.hs09	Zm00001d022124		trans-eQTL
trans-eQTL-B.hs09	Zm00001d025866		trans-eQTL
trans-eQTL-B.hs09	Zm00001d028396		trans-eQTL
trans-eQTL-B.hs09	Zm00001d028425		trans-eQTL
trans-eQTL-B.hs09	Zm00001d029263		trans-eQTL
trans-eQTL-B.hs09	Zm00001d029649		trans-eQTL
trans-eQTL-B.hs09	Zm00001d033596		trans-eQTL
trans-eQTL-B.hs09	Zm00001d036547		trans-eQTL
trans-eQTL-B.hs09	Zm00001d037004		trans-eQTL
trans-eQTL-B.hs09	Zm00001d037873		trans-eQTL
trans-eQTL-B.hs09	Zm00001d042184		trans-eQTL
trans-eQTL-B.hs09	Zm00001d043224		trans-eQTL
trans-eQTL-B.hs09	Zm00001d043356		trans-eQTL
trans-eQTL-B.hs09	Zm00001d044339		trans-eQTL
trans-eQTL-B.hs09	Zm00001d046972		trans-eQTL
trans-eQTL-B.hs09	Zm00001d047764		trans-eQTL
trans-eQTL-B.hs09	Zm00001d047912		trans-eQTL
trans-eQTL-B.hs09	Zm00001d047941		trans-eQTL
trans-eQTL-B.hs10	Zm00001d002088		trans-eQTL
trans-eQTL-B.hs10	Zm00001d002890		trans-eQTL
trans-eQTL-B.hs10	Zm00001d002919		trans-eQTL
trans-eQTL-B.hs10	Zm00001d004165		trans-eQTL
trans-eQTL-B.hs10	Zm00001d006128		trans-eQTL
trans-eQTL-B.hs10	Zm00001d007842		trans-eQTL
trans-eQTL-B.hs10	Zm00001d007845		trans-eQTL
trans-eQTL-B.hs10	Zm00001d008974		trans-eQTL
trans-eQTL-B.hs10	Zm00001d011500		trans-eQTL
trans-eQTL-B.hs10	Zm00001d012665		trans-eQTL
trans-eQTL-B.hs10	Zm00001d012916		trans-eQTL
trans-eQTL-B.hs10	Zm00001d012933		trans-eQTL
trans-eQTL-B.hs10	Zm00001d013934		trans-eQTL
trans-eQTL-B.hs10	Zm00001d014664		trans-eQTL
trans-eQTL-B.hs10	Zm00001d018495		trans-eQTL
trans-eQTL-B.hs10	Zm00001d018669		trans-eQTL
trans-eQTL-B.hs10	Zm00001d019754		trans-eQTL
trans-eQTL-B.hs10	Zm00001d021931		trans-eQTL
trans-eQTL-B.hs10	Zm00001d028522		trans-eQTL
trans-eQTL-B.hs10	Zm00001d029203		trans-eQTL
trans-eQTL-B.hs10	Zm00001d035701		trans-eQTL
trans-eQTL-B.hs10	Zm00001d037553		trans-eQTL
trans-eQTL-B.hs10	Zm00001d037941		trans-eQTL
trans-eQTL-B.hs10	Zm00001d040725		trans-eQTL
trans-eQTL-B.hs10	Zm00001d049083		trans-eQTL
trans-eQTL-B.hs11	Zm00001d002115		trans-eQTL
trans-eQTL-B.hs11	Zm00001d003779		trans-eQTL
trans-eQTL-B.hs11	Zm00001d011405		trans-eQTL
trans-eQTL-B.hs11	Zm00001d018198		trans-eQTL
trans-eQTL-B.hs11	Zm00001d023578		trans-eQTL
trans-eQTL-B.hs11	Zm00001d023604		trans-eQTL
trans-eQTL-B.hs11	Zm00001d023810		trans-eQTL
trans-eQTL-B.hs11	Zm00001d024245		trans-eQTL
trans-eQTL-B.hs11	Zm00001d024509		trans-eQTL
trans-eQTL-B.hs11	Zm00001d025571		trans-eQTL
trans-eQTL-B.hs11	Zm00001d025721		trans-eQTL
trans-eQTL-B.hs11	Zm00001d027295		trans-eQTL
trans-eQTL-B.hs11	Zm00001d031485		trans-eQTL
trans-eQTL-B.hs11	Zm00001d032805		trans-eQTL
trans-eQTL-B.hs11	Zm00001d033883		trans-eQTL
trans-eQTL-B.hs11	Zm00001d034062		trans-eQTL
trans-eQTL-B.hs11	Zm00001d037602		trans-eQTL
trans-eQTL-B.hs11	Zm00001d038688		trans-eQTL
trans-eQTL-B.hs11	Zm00001d047516		trans-eQTL
trans-eQTL-B.hs11	Zm00001d048563		trans-eQTL
trans-eQTL-B.hs11	Zm00001d051016		trans-eQTL
trans-eQTL-B.hs12	Zm00001d003038		trans-eQTL
trans-eQTL-B.hs12	Zm00001d004677		trans-eQTL
trans-eQTL-B.hs12	Zm00001d006938		trans-eQTL
trans-eQTL-B.hs12	Zm00001d007743		trans-eQTL
trans-eQTL-B.hs12	Zm00001d012165		trans-eQTL
trans-eQTL-B.hs12	Zm00001d014097		trans-eQTL
trans-eQTL-B.hs12	Zm00001d015802		trans-eQTL
trans-eQTL-B.hs12	Zm00001d021378		trans-eQTL
trans-eQTL-B.hs12	Zm00001d021588		trans-eQTL
trans-eQTL-B.hs12	Zm00001d021707		trans-eQTL
trans-eQTL-B.hs12	Zm00001d025182		trans-eQTL
trans-eQTL-B.hs12	Zm00001d026655		trans-eQTL
trans-eQTL-B.hs12	Zm00001d027939		trans-eQTL
trans-eQTL-B.hs12	Zm00001d028195		trans-eQTL
trans-eQTL-B.hs12	Zm00001d031211		trans-eQTL
trans-eQTL-B.hs12	Zm00001d033383		trans-eQTL
trans-eQTL-B.hs12	Zm00001d038174		trans-eQTL
trans-eQTL-B.hs12	Zm00001d042180		trans-eQTL
trans-eQTL-B.hs12	Zm00001d043803		trans-eQTL
trans-eQTL-B.hs12	Zm00001d044542		trans-eQTL
trans-eQTL-B.hs12	Zm00001d045507		trans-eQTL
trans-eQTL-B.hs12	Zm00001d052323		trans-eQTL
trans-eQTL-B.hs13	Zm00001d001995		trans-eQTL
trans-eQTL-B.hs13	Zm00001d002650		trans-eQTL
trans-eQTL-B.hs13	Zm00001d002656		trans-eQTL
trans-eQTL-B.hs13	Zm00001d002688		trans-eQTL
trans-eQTL-B.hs13	Zm00001d002933		trans-eQTL
trans-eQTL-B.hs13	Zm00001d003123		trans-eQTL
trans-eQTL-B.hs13	Zm00001d003207		trans-eQTL
trans-eQTL-B.hs13	Zm00001d003249		trans-eQTL
trans-eQTL-B.hs13	Zm00001d003261		trans-eQTL
trans-eQTL-B.hs13	Zm00001d003372		trans-eQTL
trans-eQTL-B.hs13	Zm00001d004861		trans-eQTL
trans-eQTL-B.hs13	Zm00001d005269		trans-eQTL
trans-eQTL-B.hs13	Zm00001d005507		trans-eQTL
trans-eQTL-B.hs13	Zm00001d005958		trans-eQTL
trans-eQTL-B.hs13	Zm00001d006323		trans-eQTL
trans-eQTL-B.hs13	Zm00001d006479		trans-eQTL
trans-eQTL-B.hs13	Zm00001d006758		trans-eQTL
trans-eQTL-B.hs13	Zm00001d007065		trans-eQTL
trans-eQTL-B.hs13	Zm00001d007200		trans-eQTL
trans-eQTL-B.hs13	Zm00001d009004		trans-eQTL
trans-eQTL-B.hs13	Zm00001d009312		trans-eQTL
trans-eQTL-B.hs13	Zm00001d009548		trans-eQTL
trans-eQTL-B.hs13	Zm00001d009771		trans-eQTL
trans-eQTL-B.hs13	Zm00001d009780		trans-eQTL
trans-eQTL-B.hs13	Zm00001d009799		trans-eQTL
trans-eQTL-B.hs13	Zm00001d009859		trans-eQTL
trans-eQTL-B.hs13	Zm00001d010567		trans-eQTL
trans-eQTL-B.hs13	Zm00001d010858		trans-eQTL
trans-eQTL-B.hs13	Zm00001d010866		trans-eQTL
trans-eQTL-B.hs13	Zm00001d011615		trans-eQTL
trans-eQTL-B.hs13	Zm00001d011762		trans-eQTL
trans-eQTL-B.hs13	Zm00001d012634		trans-eQTL
trans-eQTL-B.hs13	Zm00001d012651		trans-eQTL
trans-eQTL-B.hs13	Zm00001d013265		trans-eQTL
trans-eQTL-B.hs13	Zm00001d013278		trans-eQTL
trans-eQTL-B.hs13	Zm00001d013318		trans-eQTL
trans-eQTL-B.hs13	Zm00001d013362		trans-eQTL
trans-eQTL-B.hs13	Zm00001d013369		trans-eQTL
trans-eQTL-B.hs13	Zm00001d013417		trans-eQTL
trans-eQTL-B.hs13	Zm00001d013652		trans-eQTL
trans-eQTL-B.hs13	Zm00001d013989		trans-eQTL
trans-eQTL-B.hs13	Zm00001d015469		trans-eQTL
trans-eQTL-B.hs13	Zm00001d015714		trans-eQTL
trans-eQTL-B.hs13	Zm00001d016044		trans-eQTL
trans-eQTL-B.hs13	Zm00001d016804		trans-eQTL
trans-eQTL-B.hs13	Zm00001d017660		trans-eQTL
trans-eQTL-B.hs13	Zm00001d017718		trans-eQTL
trans-eQTL-B.hs13	Zm00001d017720		trans-eQTL
trans-eQTL-B.hs13	Zm00001d017810		trans-eQTL
trans-eQTL-B.hs13	Zm00001d017883		trans-eQTL
trans-eQTL-B.hs13	Zm00001d018014		trans-eQTL
trans-eQTL-B.hs13	Zm00001d018441		trans-eQTL
trans-eQTL-B.hs13	Zm00001d018482		trans-eQTL
trans-eQTL-B.hs13	Zm00001d018776		trans-eQTL
trans-eQTL-B.hs13	Zm00001d018795		trans-eQTL
trans-eQTL-B.hs13	Zm00001d018872		trans-eQTL
trans-eQTL-B.hs13	Zm00001d018912		trans-eQTL
trans-eQTL-B.hs13	Zm00001d020001		trans-eQTL
trans-eQTL-B.hs13	Zm00001d020435		trans-eQTL
trans-eQTL-B.hs13	Zm00001d021583		trans-eQTL
trans-eQTL-B.hs13	Zm00001d021617		trans-eQTL
trans-eQTL-B.hs13	Zm00001d022038		trans-eQTL
trans-eQTL-B.hs13	Zm00001d022161		trans-eQTL
trans-eQTL-B.hs13	Zm00001d022276		trans-eQTL
trans-eQTL-B.hs13	Zm00001d022564		trans-eQTL
trans-eQTL-B.hs13	Zm00001d023391		trans-eQTL
trans-eQTL-B.hs13	Zm00001d023841		trans-eQTL
trans-eQTL-B.hs13	Zm00001d026257		trans-eQTL
trans-eQTL-B.hs13	Zm00001d026273		trans-eQTL
trans-eQTL-B.hs13	Zm00001d026344		trans-eQTL
trans-eQTL-B.hs13	Zm00001d026671		trans-eQTL
trans-eQTL-B.hs13	Zm00001d026698		trans-eQTL
trans-eQTL-B.hs13	Zm00001d027231		trans-eQTL
trans-eQTL-B.hs13	Zm00001d028084		trans-eQTL
trans-eQTL-B.hs13	Zm00001d028096		trans-eQTL
trans-eQTL-B.hs13	Zm00001d028107		trans-eQTL
trans-eQTL-B.hs13	Zm00001d028261		trans-eQTL
trans-eQTL-B.hs13	Zm00001d028840		trans-eQTL
trans-eQTL-B.hs13	Zm00001d028898		trans-eQTL
trans-eQTL-B.hs13	Zm00001d029206		trans-eQTL
trans-eQTL-B.hs13	Zm00001d029530		trans-eQTL
