SampleID	Tissue	Genotype	Treatment	Replicate	paired	r0	r1	r2
s48	shoot	A632	cold	2	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s48.fq.gz		
s49	shoot	A632	cold	3	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s49.fq.gz		
s50	root	A632	cold_control	1	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s50.fq.gz		
s51	root	A632	cold_control	2	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s51.fq.gz		
s52	root	A632	cold_control	3	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s52.fq.gz		
s53	shoot	B73	drought	1	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s53.fq.gz		
s54	shoot	B73	drought	2	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s54.fq.gz		
s55	shoot	A632	drought	1	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s55.fq.gz		
s56	shoot	A632	drought	2	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s56.fq.gz		
s57	shoot	A632	drought	3	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s57.fq.gz		
s58	shoot	A632	drought_control	1	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s58.fq.gz		
s59	shoot	A632	drought_control	2	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s59.fq.gz		
s60	shoot	B73	drought_control	1	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s60.fq.gz		
s61	root	B73	drought	1	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s61.fq.gz		
s62	shoot	B73	AMG	1	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s62.fq.gz		
s63	husk	B73	Maike	1	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s63.fq.gz		
s64	husk	B73	Maike	2	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s64.fq.gz		
s65	husk	B73	Maike	3	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s65.fq.gz		
s66	stem	B73	Maike	1	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s66.fq.gz		
s67	stem	B73	Maike	2	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s67.fq.gz		
s68	stem	B73	Maike	3	SE	/datalus/weiyu//projects/s3/zhoup-barn/zm.cg20a.2/s68.fq.gz		
