SampleID	Tissue	Genotype	Treatment	Replicate	inbred	total	passed	failed	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
SRR7477379	leaf	W10001_0010	NA	1	TRUE	25683497	25263012	420485	25263012	0	0	23929164	22870370	9288281	9607326	0	0	0	0	1333848	0	0	0	0	0	0	0	0	21370717	2690042	1219376	280277	1333848
SRR7477380	leaf	LH299	NA	1	TRUE	26548502	26261821	286681	26261821	0	0	25080779	24086548	9947091	10254706	0	0	0	0	1181042	0	0	0	0	0	0	0	0	22701480	2535413	1124330	260738	1181042
SRR7477381	leaf	LH218	NA	1	TRUE	26513150	26153134	360016	26153134	0	0	24944718	23960026	10654773	10976324	0	0	0	0	1208416	0	0	0	0	0	0	0	0	22515449	2622738	1195431	249146	1208416
SRR7477382	leaf	LH231	NA	1	TRUE	26408849	26134222	274627	26134222	0	0	25259588	24441197	16652348	17155780	0	0	0	0	874634	0	0	0	0	0	0	0	0	22814566	2206888	1335883	290748	874634
SRR7477383	leaf	LH188	NA	1	TRUE	27654873	27333264	321609	27333264	0	0	26008488	25027202	11445047	11757976	0	0	0	0	1324776	0	0	0	0	0	0	0	0	23796439	2555266	960980	269783	1324776
SRR7477384	leaf	W10001_0009	NA	1	TRUE	26322788	25896312	426476	25896312	0	0	24360525	23322396	10246344	10564150	0	0	0	0	1535787	0	0	0	0	0	0	0	0	21852146	2640212	1173852	296398	1535787
SRR7477385	leaf	I224	NA	1	TRUE	25268102	24935354	332748	24935354	0	0	23631489	22628416	10820648	11145654	0	0	0	0	1303865	0	0	0	0	0	0	0	0	21150631	2676929	1230002	247783	1303865
SRR7477386	leaf	PHMK0	NA	1	TRUE	28067840	27722233	345607	27722233	0	0	26586246	25513344	12817992	13279112	0	0	0	0	1135987	0	0	0	0	0	0	0	0	23951169	2822562	1277988	284187	1135987
SRR7477387	leaf	PHT11	NA	1	TRUE	25726768	25364316	362452	25364316	0	0	24026006	23055830	12703828	13121159	0	0	0	0	1338310	0	0	0	0	0	0	0	0	21500774	2484944	1266023	289033	1338310
SRR7477388	leaf	PHHB9-1	NA	1	TRUE	26293917	25957588	336329	25957588	0	0	24779900	23984724	14299486	14671770	0	0	0	0	1177688	0	0	0	0	0	0	0	0	22806653	2068839	912149	265922	1177688
SRR7477389	leaf	AH83	NA	1	TRUE	24650045	24342209	307836	24342209	0	0	23412065	22404871	10086937	10454245	0	0	0	0	930144	0	0	0	0	0	0	0	0	21072898	2677511	1066218	265755	930144
SRR7477390	leaf	LE23	NA	1	TRUE	28423901	28020555	403346	28020555	0	0	26786882	25670283	11715061	12061634	0	0	0	0	1233673	0	0	0	0	0	0	0	0	24315822	2910515	1053098	301363	1233673
SRR7477391	leaf	PHWRZ	NA	1	TRUE	25908366	25474363	434003	25474363	0	0	24112821	23262280	12650240	12984676	0	0	0	0	1361542	0	0	0	0	0	0	0	0	22043664	2206026	967260	251356	1361542
SRR7477392	leaf	I11.12E	NA	1	TRUE	28416513	27944911	471602	27944911	0	0	26683042	25571188	11052515	11389864	0	0	0	0	1261869	0	0	0	0	0	0	0	0	24227084	2851182	1050744	293360	1261869
SRR7477393	leaf	B2	NA	1	TRUE	25108834	24855046	253788	24855046	0	0	23698886	22738536	9935920	10261380	0	0	0	0	1156160	0	0	0	0	0	0	0	0	21499276	2531011	969519	269741	1156160
SRR7477394	leaf	LH252	NA	1	TRUE	22750998	22518908	232090	22518908	0	0	21597754	20777098	9216061	9458054	0	0	0	0	921154	0	0	0	0	0	0	0	0	19746412	2086522	799225	231461	921154
SRR7477395	leaf	PHN18	NA	1	TRUE	28119873	27724858	395015	27724858	0	0	26510095	25609315	14668897	15091300	0	0	0	0	1214763	0	0	0	0	0	0	0	0	24226896	2377609	1105114	277305	1214763
SRR7477396	leaf	W10001-0016	NA	1	TRUE	23494882	23309799	185083	23309799	0	0	22415315	21503652	9761122	10096780	0	0	0	0	894484	0	0	0	0	0	0	0	0	20414280	2336311	847005	242367	894484
SRR7477397	leaf	LH260	NA	1	TRUE	28733112	28334701	398411	28334701	0	0	27109212	26057345	11854063	12233711	0	0	0	0	1225489	0	0	0	0	0	0	0	0	24677299	2610038	1075075	304971	1225489
SRR7477398	leaf	A3G-3-3-1-313	NA	1	TRUE	25776329	25358152	418177	25358152	0	0	23982683	22966423	9073214	9365646	0	0	0	0	1375469	0	0	0	0	0	0	0	0	21674195	2607045	1025418	266810	1375469
SRR7477399	leaf	PHW06	NA	1	TRUE	26391409	26052408	339001	26052408	0	0	24716155	23763890	10107480	10369337	0	0	0	0	1336253	0	0	0	0	0	0	0	0	22475880	2434671	1014770	273240	1336253
SRR7477400	leaf	PHDD6	NA	1	TRUE	21417234	21131921	285313	21131921	0	0	20226753	19426306	8384979	8601438	0	0	0	0	905168	0	0	0	0	0	0	0	0	18441950	2043047	749424	234932	905168
SRR7477401	leaf	PHW65-MoG-242	NA	1	TRUE	26117488	25832981	284507	25832981	0	0	24475689	23431234	10411272	10802665	0	0	0	0	1357292	0	0	0	0	0	0	0	0	22296921	2664035	867726	266587	1357292
SRR7477402	leaf	LH168	NA	1	TRUE	23674028	23366707	307321	23366707	0	0	22245042	21349179	9506640	9776639	0	0	0	0	1121665	0	0	0	0	0	0	0	0	20028194	2363547	1069857	251128	1121665
