SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	inbred	pa1	pa2	paired	spots	avgLength
bm187	Leaf	Mo17xPHG29	""	1	m177	FALSE	Mo17	PHG29	TRUE	38922022	302
bm188	Leaf	Mo17xPHG29	""	2	m177	FALSE	Mo17	PHG29	TRUE	39418878	302
bm189	Leaf	Mo44xMo17	""	1	m178	FALSE	Mo44	Mo17	TRUE	33815339	302
bm190	Leaf	Mo44xMo17	""	2	m178	FALSE	Mo44	Mo17	TRUE	38829631	302
bm191	Leaf	PHG47xB73	""	1	m179	FALSE	PHG47	B73	TRUE	35454049	302
bm192	Leaf	PHG47xB73	""	2	m179	FALSE	PHG47	B73	TRUE	31814724	302
bm193	Leaf	PHW65xB73	""	1	m180	FALSE	PHW65	B73	TRUE	33780376	302
bm194	Leaf	PHW65xB73	""	2	m180	FALSE	PHW65	B73	TRUE	28236099	302
bm195	Leaf	W64AxMo17	""	1	m181	FALSE	W64A	Mo17	TRUE	33739508	302
bm196	Leaf	W64AxMo17	""	2	m181	FALSE	W64A	Mo17	TRUE	32755719	302
bm197	Root	LH156xMo17	""	1	m182	FALSE	LH156	Mo17	TRUE	32709943	302
bm198	Root	LH156xMo17	""	2	m182	FALSE	LH156	Mo17	TRUE	27632625	302
bm199	Endosperm	B73xMo17	""	1	m183	FALSE	B73	Mo17	TRUE	32970991	302
bm200	Endosperm	B84xMo17	""	1	m184	FALSE	B84	Mo17	TRUE	39337092	302
bm201	Endosperm	B84xPH207	""	1	m185	FALSE	B84	PH207	TRUE	32912650	302
bm202	Endosperm	CR1HTxB73	""	1	m186	FALSE	CR1HT	B73	TRUE	34614989	302
bm203	Endosperm	CR1HTxMo17	""	1	m187	FALSE	CR1HT	Mo17	TRUE	25014328	302
bm204	Endosperm	CR1HTxPH207	""	1	m188	FALSE	CR1HT	PH207	TRUE	33022449	302
bm205	Endosperm	DKFAPWxB73	""	1	m189	FALSE	DKFAPW	B73	TRUE	38757867	302
bm206	Endosperm	DKFAPWxMo17	""	1	m190	FALSE	DKFAPW	Mo17	TRUE	38541013	302
bm207	Endosperm	H99xB73	""	1	m191	FALSE	H99	B73	TRUE	29619581	302
bm208	Endosperm	H99xMo17	""	1	m192	FALSE	H99	Mo17	TRUE	37720918	302
bm209	Endosperm	H99xPH207	""	1	m193	FALSE	H99	PH207	TRUE	31999638	302
bm210	Endosperm	LH123HTxB73	""	1	m194	FALSE	LH123HT	B73	TRUE	39354932	302
bm211	Endosperm	LH123HTxPH207	""	1	m195	FALSE	LH123HT	PH207	TRUE	34285740	302
bm212	Endosperm	LH145xB73	""	1	m196	FALSE	LH145	B73	TRUE	37093016	302
bm213	Endosperm	LH145xPH207	""	1	m197	FALSE	LH145	PH207	TRUE	30668615	302
bm214	Endosperm	LH156xMo17	""	1	m198	FALSE	LH156	Mo17	TRUE	46781355	302
bm215	Endosperm	LH85xB73	""	1	m199	FALSE	LH85	B73	TRUE	36973456	302
bm216	Endosperm	LH85xMo17	""	1	m200	FALSE	LH85	Mo17	TRUE	43218961	302
