SampleID	Tissue	Genotype	Treatment	Replicate	inbred	total	surviving	surviving_f	surviving_r	dropped	uniquely_mapped	multimapped	unmapped	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
bm232	Root	LH156xB73	NA	1	FALSE	37562439	32986348	4530504	32304	13283	35444278	1290468	814410	29365637	2922310	1357843	392888	924813
bm233	Endosperm	LH156xB73	NA	1	FALSE	51677726	46565647	5033811	62083	16185	46226179	4136113	1299249	38252042	8066780	2509702	890373	2297700
bm234	Endosperm	LH156xB73	NA	2	FALSE	50246340	44881709	5291264	57527	15840	45449367	3293332	1487801	37356558	7570839	2405058	825338	1810363
bm235	Seedling	LH156xMo17	NA	1	FALSE	37837439	30456557	7334857	28137	17888	34390575	1911957	1517019	25247027	4681760	1843237	364711	1343843
bm236	Leaf	LH156xMo17	NA	1	FALSE	33725194	29909283	3759534	42687	13690	31040276	1702574	968654	25998722	3583830	1201193	316888	1171455
bm237	Internode	LH156xMo17	NA	1	FALSE	37335021	33371891	3891999	56953	14178	34573804	1620033	1127006	29014846	3394054	1499738	372614	1285994
bm238	Internode	LH156xMo17	NA	2	FALSE	41294371	36134212	5078433	57172	24554	37124316	2143182	2002319	64500357	0	4172022	917130	5163422
bm239	Root	LH156xMo17	NA	1	FALSE	32709943	27609560	5044297	42187	13899	29573837	1619582	1502625	23213159	3601750	1336004	336205	1587368
bm240	Root	LH156xMo17	NA	2	FALSE	27632625	22943638	4644806	31325	12856	24845646	1298420	1475703	41907246	0	2889671	640921	3113182
bm241	Endosperm	LH156xMo17	NA	1	FALSE	46781355	41012023	5699262	52191	17879	41998017	3480677	1284782	34054256	8251767	2018326	772426	1506207
bm242	Internode	LH85xB73	NA	1	FALSE	33016532	29954032	3015102	33774	13624	31055652	1019400	927856	26647941	2314729	1192136	327382	959686
bm243	Seedling	LH85xB73	NA	1	FALSE	33431645	29590480	3794705	31249	15211	31337248	1412429	666757	26383168	2988593	1005794	340651	832550
bm244	Leaf	LH85xB73	NA	1	FALSE	35756130	31678726	4015712	45591	16101	31989449	1730171	2020409	25175282	4580253	2849733	291092	2007842
bm245	Root	LH85xB73	NA	1	FALSE	39893312	35610227	4223808	43496	15781	36670757	1351763	1855011	30861637	3090178	1482937	376461	1889180
bm246	Endosperm	LH85xB73	NA	1	FALSE	36973456	32777032	4136984	43996	15444	32080545	3771991	1105476	25495962	9776752	2267289	653151	1180422
bm247	Endosperm	LH85xMo17	NA	1	FALSE	43218961	38494363	4651594	55265	17739	37987553	3621080	1592589	31134027	9279348	2093709	584341	1689284
bm248	Endosperm	LH85xPH207	NA	1	FALSE	44278389	37017384	7192024	48849	20132	39449099	3719142	1090016	30519411	9176212	1966869	530117	1315296
bm249	Internode	LH93xB73	NA	1	FALSE	31461588	27215843	4212236	21715	11794	29660676	939803	849315	24268338	2188728	1061082	327349	819629
bm250	Seedling	LH93xB73	NA	1	FALSE	35848387	31916003	3890546	31121	10717	33807969	1399957	629744	28644153	2981480	1095855	371381	755492
bm251	Leaf	LH93xB73	NA	1	FALSE	28397969	24646020	3700438	36569	14942	26111716	1226844	1044467	20516770	3119246	1843687	248692	1075388
bm252	Root	LH93xB73	NA	1	FALSE	33214821	29904308	3269522	30391	10600	30723062	1490840	990319	54377008	0	3289537	706954	2146610
