# This file was produced by bcftools (1.9+htslib-1.9), the command line was:
# 	 bcftools gtcheck  -g /home/springer/zhoux379/projects/reseq/data/variants/11.vcf.gz -G 1 --homs-only -s s09 vnt.vcf.gz
# and the working directory was:
# 	 /panfs/roc/groups/15/springer/zhoux379/projects/rnaseq/data/11_qc/rn20j
#
# [1]CN	[2]Discordance with s09 (total)	[3]Discordance (avg score per site)	[4]Number of sites compared	[5]Sample	[6]Sample ID
CN	3.244570e+05	4.012067e+05	449566	dn17b#Tzi8	89
CN	3.243010e+05	3.981400e+05	452811	dn14a#EP1	90
CN	3.242260e+05	3.993620e+05	451321	dn14a#F7	91
CN	3.219100e+05	3.991137e+05	448376	dn17b#CML322	92
CN	3.214020e+05	3.986439e+05	448196	dn17b#P39	93
CN	3.169150e+05	3.984733e+05	442128	dn14a#F03802	94
CN	3.151150e+05	4.013729e+05	436441	dn17a#NC358	95
CN	3.149140e+05	4.020214e+05	435459	dn14a#F252	96
CN	3.146580e+05	4.061529e+05	430679	dn17a#H84	97
CN	3.114530e+05	4.274604e+05	405043	dn14a#F98902	98
CN	3.072210e+05	3.956265e+05	431688	dn14a#EC169	99
CN	3.069030e+05	3.977490e+05	428940	dn14a#CH10	100
CN	3.064330e+05	3.985494e+05	427423	dn14a#UH006	101
CN	3.026790e+05	4.007676e+05	419850	dn14a#UH009	102
CN	3.018630e+05	4.015282e+05	417925	dn14a#EP44	103
CN	3.011320e+05	4.012538e+05	417198	dn14a#W117	104
CN	3.011090e+05	4.002092e+05	418255	dn14a#EC49A	105
CN	3.007650e+05	3.943802e+05	423952	dn14a#D09	106
CN	2.973400e+05	4.030860e+05	410072	dn14a#EZ5	107
CN	2.967790e+05	4.007784e+05	411655	dn14a#D152	108
CN	2.966500e+05	4.079000e+05	404292	dn14a#F618	109
CN	2.959590e+05	3.996273e+05	411700	dn14a#Lo11	110
CN	2.931130e+05	3.993942e+05	407979	dn14a#FF0721H-7	111
CN	2.925900e+05	4.007335e+05	405890	dn14a#F64	112
CN	2.921890e+05	3.993214e+05	406767	dn14a#UH250	113
CN	2.912920e+05	4.039588e+05	400863	dn14a#UH304	114
CN	2.881850e+05	4.036202e+05	396920	dn17a#A682	115
CN	2.751490e+05	3.895334e+05	392670	dn14a#D06	116
CN	2.492860e+05	4.374953e+05	316759	dn18a#3IIH6	117
CN	2.440230e+05	3.996783e+05	339410	dn14a#Teosinte	118
