SampleID	Tissue	Genotype	Treatment	Replicate	paired
SRR611273	SAM	M0232		1	FALSE
SRR611274	SAM	M0248		1	FALSE
SRR611275	SAM	M0262		1	FALSE
SRR611276	SAM	M0264		1	FALSE
SRR611277	SAM	M0265		1	FALSE
SRR611278	SAM	M0266		1	FALSE
SRR611287	SAM	M0267		1	FALSE
SRR611288	SAM	M0269		1	FALSE
SRR611289	SAM	M0270		1	FALSE
SRR611290	SAM	M0272		1	FALSE
SRR611291	SAM	M0275		1	FALSE
SRR611292	SAM	M0276		1	FALSE
SRR611293	SAM	M0278		1	FALSE
SRR611294	SAM	M0281		1	FALSE
SRR611295	SAM	M0284		1	FALSE
SRR611296	SAM	M0287		1	FALSE
SRR611297	SAM	M0288		1	FALSE
SRR611298	SAM	M0289		1	FALSE
SRR611299	SAM	M0296		1	FALSE
SRR611300	SAM	M0297		1	FALSE
SRR611301	SAM	M0298		1	FALSE
SRR611302	SAM	M0303		1	FALSE
SRR611303	SAM	M0310		1	FALSE
SRR611304	SAM	M0311		1	FALSE
SRR611305	SAM	M0315		1	FALSE
SRR611306	SAM	M0317		1	FALSE
SRR611307	SAM	M0322		1	FALSE
SRR611308	SAM	M0323		1	FALSE
SRR611309	SAM	M0325		1	FALSE
SRR611310	SAM	M0326		1	FALSE
SRR611311	SAM	M0329		1	FALSE
SRR611312	SAM	M0337		1	FALSE
SRR611313	SAM	M0341		1	FALSE
SRR611314	SAM	M0344		1	FALSE
SRR611315	SAM	M0345		1	FALSE
SRR611316	SAM	M0346		1	FALSE
SRR611317	SAM	M0349		1	FALSE
SRR611318	SAM	M0352		1	FALSE
SRR611319	SAM	M0354		1	FALSE
SRR611320	SAM	M0355		1	FALSE
SRR611321	SAM	M0357		1	FALSE
SRR611322	SAM	M0360		1	FALSE
SRR611323	SAM	M0364		1	FALSE
SRR611324	SAM	M0365		1	FALSE
SRR611325	SAM	M0367		1	FALSE
SRR611326	SAM	M0368		1	FALSE
SRR611327	SAM	M0369		1	FALSE
SRR611328	SAM	M0378		1	FALSE
SRR611329	SAM	M0379		1	FALSE
SRR611330	SAM	M0382		1	FALSE
SRR611331	SAM	M0383		1	FALSE
SRR611332	SAM	M0384		1	FALSE
SRR611333	SAM	M0044		1	FALSE
SRR611334	SAM	M0328		1	FALSE
SRR611335	SAM	M0165		1	FALSE
SRR611336	SAM	M0033		1	FALSE
SRR611337	SAM	M0034		1	FALSE
SRR611338	SAM	B73		1	FALSE
SRR611339	SAM	Mo17		1	FALSE
SRR650904	SAM	M0001		2	FALSE
SRR650905	SAM	M0005		2	FALSE
SRR650906	SAM	M0008		2	FALSE
SRR650907	SAM	M0007		2	FALSE
SRR650908	SAM	M0010		2	FALSE
SRR650909	SAM	B73		2	FALSE
SRR650910	SAM	M0012		2	FALSE
SRR650911	SAM	M0014		2	FALSE
SRR650912	SAM	M0015		2	FALSE
SRR650913	SAM	M0016		2	FALSE
SRR650914	SAM	M0021		2	FALSE
SRR650915	SAM	M0022		2	FALSE
SRR650916	SAM	M0023		2	FALSE
SRR650917	SAM	M0024		2	FALSE
SRR650918	SAM	M0025		2	FALSE
SRR650919	SAM	M0017		2	FALSE
SRR650920	SAM	M0026		2	FALSE
SRR650921	SAM	M0028		2	FALSE
SRR650922	SAM	M0029		2	FALSE
SRR650923	SAM	M0030		2	FALSE
SRR650924	SAM	M0031		2	FALSE
SRR650925	SAM	M0032		2	FALSE
SRR650926	SAM	M0035		2	FALSE
SRR650927	SAM	M0033		2	FALSE
SRR650928	SAM	M0034		2	FALSE
SRR650929	SAM	M0039		2	FALSE
SRR650930	SAM	M0040		2	FALSE
SRR650931	SAM	M0044		2	FALSE
SRR650932	SAM	M0046		2	FALSE
SRR650933	SAM	M0048		2	FALSE
SRR650934	SAM	M0051		2	FALSE
SRR650935	SAM	M0052		2	FALSE
SRR650936	SAM	M0054		2	FALSE
SRR650937	SAM	M0056		2	FALSE
SRR650938	SAM	M0057		2	FALSE
SRR650939	SAM	M0058		2	FALSE
SRR650940	SAM	M0060		2	FALSE
SRR650941	SAM	M0061		2	FALSE
SRR650942	SAM	M0062		2	FALSE
SRR650943	SAM	M0063		2	FALSE
SRR650944	SAM	M0066		2	FALSE
SRR650945	SAM	M0067		2	FALSE
SRR650946	SAM	M0074		2	FALSE
SRR650947	SAM	M0075		2	FALSE
