SampleID	Tissue	Genotype	Treatment	Replicate	paired	inbred
SRR8043133	leaf	PHW65xMo17	I	1	TRUE	FALSE
SRR8043134	leaf	PHW65xB73	I	1	TRUE	FALSE
SRR8043135	leaf	PHG47xMo17	R	1	TRUE	FALSE
SRR8043136	leaf	PHG39xMo17	S	1	TRUE	FALSE
SRR8043137	leaf	PHG35xMo17	S	1	TRUE	FALSE
SRR8043138	leaf	PHB47xMo17	S	1	TRUE	FALSE
SRR8043139	leaf	MoGxMo17	S	1	TRUE	FALSE
SRR8043140	leaf	Mo17xPHG29	L_T2	2	TRUE	FALSE
SRR8043141	leaf	Mo44xMo17	S	1	TRUE	FALSE
SRR8043142	leaf	Mo17xPHG29	S	1	TRUE	FALSE
SRR8043143	leaf	Mo17xOh43	S	1	TRUE	FALSE
SRR8043144	leaf	PHJ40xB73	S	2	TRUE	FALSE
SRR8043145	leaf	PHW65xB73	S	1	TRUE	FALSE
SRR8043146	leaf	PHG50xB73	S	1	TRUE	FALSE
SRR8043147	leaf	PHG29xMo17	E	1	FALSE	FALSE
SRR8043148	leaf	PHG29xB73	E	1	FALSE	FALSE
SRR8043149	leaf	NKS8326xMo17	L	1	TRUE	FALSE
SRR8043150	leaf	Oh43xB73	L	1	TRUE	FALSE
SRR8043151	leaf	PHG29xPH207	E	1	FALSE	FALSE
SRR8043152	leaf	LH156xB73	R	1	FALSE	FALSE
SRR8043153	leaf	MoGxMo17	L	1	TRUE	FALSE
SRR8043154	leaf	NKH8431xB73	L	1	TRUE	FALSE
SRR8043155	leaf	PH207xB73	L	1	TRUE	FALSE
SRR8043156	leaf	MoGxB73	L	1	TRUE	FALSE
SRR8043157	leaf	CR1HTxMo17	E	1	FALSE	FALSE
SRR8043158	leaf	MoGxMo17	S	2	FALSE	FALSE
SRR8043159	leaf	Oh43xPH207	E	1	TRUE	FALSE
SRR8043160	leaf	PHB47xPH207	E	1	TRUE	FALSE
SRR8043161	leaf	PHG29xB73	E	2	TRUE	FALSE
SRR8043162	leaf	PH207xMo17	E	1	TRUE	FALSE
SRR8043163	leaf	Mo17xB73	E	1	TRUE	FALSE
SRR8043164	leaf	Mo44xMo17	S	2	FALSE	FALSE
SRR8043165	leaf	PH207xB73	E	1	TRUE	FALSE
SRR8043166	leaf	Oh43xB73	E	1	FALSE	FALSE
SRR8043167	leaf	LH123HTxMo17	E	2	FALSE	FALSE
SRR8043168	leaf	LH156xB73	S	1	FALSE	FALSE
SRR8043169	leaf	H99xB73	I	1	FALSE	FALSE
SRR8043170	leaf	PHB47xMo17	R	1	FALSE	FALSE
SRR8043171	leaf	NC230xPH207	E	1	TRUE	FALSE
SRR8043172	leaf	Ny821xMo17	E	1	FALSE	FALSE
SRR8043173	leaf	MoGxMo17	E	1	FALSE	FALSE
SRR8043174	leaf	B84xB73	E	1	FALSE	FALSE
SRR8043175	leaf	Q381xPH207	E	1	FALSE	FALSE
SRR8043176	leaf	Mo17xPHG29	L	1	FALSE	FALSE
SRR8043177	leaf	Mo45xMo17	E	1	FALSE	FALSE
SRR8043178	leaf	PHG50xMo17	E	1	TRUE	FALSE
SRR8043179	leaf	LH123HTxMo17	L	1	TRUE	FALSE
SRR8043180	leaf	Mo44xB73	S	1	TRUE	FALSE
SRR8043181	leaf	Mo17xPHG29	I	1	FALSE	FALSE
SRR8043182	leaf	Mo45xB73	S	1	TRUE	FALSE
SRR8043183	leaf	LH156xMo17	L	1	TRUE	FALSE
SRR8043184	leaf	LH85xB73	L	1	TRUE	FALSE
SRR8043185	leaf	Q381xB73	L	2	FALSE	FALSE
SRR8043186	leaf	LH156xB73	L	1	TRUE	FALSE
SRR8043187	leaf	LH156xMo17	L	2	FALSE	FALSE
SRR8043188	leaf	LH93xB73	R	2	TRUE	FALSE
SRR8043189	leaf	LH145xB73	L	1	TRUE	FALSE
SRR8043190	leaf	Mo45xMo17	L	1	TRUE	FALSE
SRR8043191	leaf	Oh43xMo17	E	1	FALSE	FALSE
SRR8043192	leaf	H99xMo17	I	1	FALSE	FALSE
SRR8043193	leaf	PHG35xB73	E	1	FALSE	FALSE
SRR8043194	leaf	PHG50xMo17	E	2	FALSE	FALSE
SRR8043195	leaf	PHG83xPH207	E	1	FALSE	FALSE
SRR8043196	leaf	LH156xB73	L	2	FALSE	FALSE
SRR8043197	leaf	PHG83xMo17	E	1	FALSE	FALSE
SRR8043198	leaf	PHG72xB73	E	1	FALSE	FALSE
SRR8043199	leaf	NC230xB73	E_T2	2	FALSE	FALSE
SRR8043200	leaf	NC230xB73	E	1	FALSE	FALSE
SRR8043201	leaf	PHG47xB73	L	1	TRUE	FALSE
SRR8043202	leaf	Mo17xPH207	I	1	FALSE	FALSE
SRR8043203	leaf	DKFAPWxMo17	L	1	TRUE	FALSE
