# This file was produced by bcftools (1.9+htslib-1.9), the command line was:
# 	 bcftools gtcheck  -g /home/springer/zhoux379/projects/reseq/data/variants/11.vcf.gz -G 1 --homs-only -s s07 vnt.vcf.gz
# and the working directory was:
# 	 /panfs/roc/groups/15/springer/zhoux379/projects/rnaseq/data/11_qc/rn20j
#
# [1]CN	[2]Discordance with s07 (total)	[3]Discordance (avg score per site)	[4]Number of sites compared	[5]Sample	[6]Sample ID
CN	3.602730e+05	3.987960e+05	502210	dn18a#W605S	53
CN	3.602010e+05	4.015903e+05	498616	dn17a#B97	54
CN	3.599150e+05	3.960136e+05	505236	dn18a#PHK76	55
CN	3.596400e+05	4.040776e+05	494775	dn14a#F353	56
CN	3.588670e+05	4.005488e+05	498061	dn17a#Ms71	57
CN	3.583100e+05	3.978503e+05	500661	dn18a#PHK56	58
CN	3.581200e+05	3.994127e+05	498438	dn17b#M37W	59
CN	3.579920e+05	3.916713e+05	508108	dn18a#DKHBA1	60
CN	3.569780e+05	3.997737e+05	496400	dn19a#CML228	61
CN	3.568520e+05	4.001339e+05	495778	dn17b#CML69	62
CN	3.561290e+05	3.888295e+05	509158	dn18a#PHG39	63
CN	3.559900e+05	4.037647e+05	490133	dn17b#W22	64
CN	3.559150e+05	3.936507e+05	502620	dn18a#PHKM5	65
CN	3.555000e+05	4.001717e+05	493853	dn17b#KI3	66
CN	3.551420e+05	4.005742e+05	492860	dn17b#CML103	67
CN	3.538200e+05	4.000791e+05	491633	dn14a#F283	68
CN	3.503450e+05	3.984873e+05	488749	dn18a#PHG35	69
CN	3.488360e+05	4.014205e+05	483088	dn17b#CML52	70
CN	3.466020e+05	4.029974e+05	478116	dn17b#CML333	71
CN	3.453490e+05	3.994427e+05	480627	dn17a#OH7B	72
CN	3.451850e+05	4.033611e+05	475732	dn17b#CML277	73
CN	3.451430e+05	4.078376e+05	470453	dn12a#W64A	74
CN	3.444120e+05	4.024291e+05	475766	dn17b#MO18W	75
CN	3.443830e+05	4.027584e+05	475337	dn17a#Tx303	76
CN	3.427370e+05	4.099970e+05	464713	dn17a#B37	77
CN	3.423300e+05	4.032195e+05	471963	dn17b#Ky21	78
CN	3.407400e+05	4.026751e+05	470406	dn17b#M162W	79
CN	3.366790e+05	3.701607e+05	505627	dn18a#LH145	80
CN	3.364570e+05	3.976947e+05	470310	dn18a#PHG72	81
CN	3.359210e+05	4.020657e+05	464456	dn14a#UH007	82
CN	3.354190e+05	3.997710e+05	466424	dn14a#DK105	83
CN	3.347640e+05	4.030124e+05	461769	dn17b#Ki11	84
CN	3.337770e+05	4.043531e+05	458881	dn17b#NC350	85
CN	3.327890e+05	4.024905e+05	459640	dn17a#Il14H	86
CN	3.291320e+05	4.019512e+05	455199	dn17b#CML247	87
CN	3.281880e+05	4.024623e+05	453317	dn14a#F2	88
CN	3.279050e+05	4.054703e+05	449566	dn17b#Tzi8	89
CN	3.278450e+05	4.024909e+05	452811	dn14a#EP1	90
CN	3.278140e+05	4.037815e+05	451321	dn14a#F7	91
CN	3.254190e+05	4.034642e+05	448376	dn17b#CML322	92
CN	3.247990e+05	4.028573e+05	448196	dn17b#P39	93
CN	3.203360e+05	4.027747e+05	442128	dn14a#F03802	94
CN	3.178830e+05	4.058117e+05	435459	dn14a#F252	95
CN	3.174670e+05	4.043687e+05	436441	dn17a#NC358	96
CN	3.167520e+05	4.088558e+05	430679	dn17a#H84	97
CN	3.120190e+05	4.282372e+05	405043	dn14a#F98902	98
CN	3.117080e+05	4.014047e+05	431688	dn14a#EC169	99
CN	3.104300e+05	4.023200e+05	428940	dn14a#CH10	100
CN	3.100740e+05	4.032849e+05	427423	dn14a#UH006	101
CN	3.058950e+05	4.050258e+05	419850	dn14a#UH009	102
CN	3.051130e+05	4.058512e+05	417925	dn14a#EP44	103
CN	3.050250e+05	3.999661e+05	423952	dn14a#D09	104
CN	3.045520e+05	4.058109e+05	417198	dn14a#W117	105
CN	3.042480e+05	4.043813e+05	418255	dn14a#EC49A	106
CN	3.006520e+05	4.075759e+05	410072	dn14a#EZ5	107
CN	3.002350e+05	4.054454e+05	411655	dn14a#D152	108
CN	2.994500e+05	4.117500e+05	404292	dn14a#F618	109
CN	2.992340e+05	4.040495e+05	411700	dn14a#Lo11	110
CN	2.964470e+05	4.039371e+05	407979	dn14a#FF0721H-7	111
CN	2.958600e+05	4.052121e+05	405890	dn14a#F64	112
CN	2.957240e+05	4.041526e+05	406767	dn14a#UH250	113
CN	2.940410e+05	4.077711e+05	400863	dn14a#UH304	114
CN	2.904360e+05	4.067728e+05	396920	dn17a#A682	115
CN	2.797830e+05	3.960938e+05	392670	dn14a#D06	116
CN	2.491100e+05	4.371864e+05	316759	dn18a#3IIH6	117
CN	2.465050e+05	4.037435e+05	339410	dn14a#Teosinte	118
