SampleID	Tissue	Genotype	Treatment	Replicate	total	surviving	surviving_f	surviving_r	dropped	uniquely_mapped	multimapped	unmapped	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
SRR611335	Shoot_Apex	M0165	NA	1	33478329	32362645	0	0	1115684	29785325	2117786	459534	27528766	0	1869484	387075	761252
SRR611336	Shoot_Apex	M0033	NA	1	23819908	23215966	0	0	603942	21310002	1559163	346801	19695900	0	1333961	280141	573549
SRR611337	Shoot_Apex	M0034	NA	1	19407389	18899309	0	0	508080	17487934	1136816	274559	16179507	0	1070893	237534	423964
SRR611338	Shoot_Apex	B73	NA	1	29818090	28810098	0	0	1007992	26819660	1734258	256180	24853812	0	1608148	357700	490997
SRR611339	Shoot_Apex	Mo17	NA	1	32807242	31857617	0	0	949625	29002650	2214386	640581	26791120	0	1841543	369987	914072
SRR650904	Shoot_Apex	M0001	NA	2	21910626	21604947	0	0	305679	21244269	331232	29446	19634219	0	1321590	288460	31196
SRR650905	Shoot_Apex	M0005	NA	2	25154413	24788179	0	0	366234	24368966	383178	36035	22495626	0	1552670	320670	38166
SRR650906	Shoot_Apex	M0008	NA	2	33724422	33144772	0	0	579650	32562974	535226	46572	30084807	0	2053290	424877	49133
SRR650907	Shoot_Apex	M0007	NA	2	26650860	26276149	0	0	374711	25822682	413874	39593	23901740	0	1572063	348879	41408
SRR650908	Shoot_Apex	M0010	NA	2	24159316	23741308	0	0	418008	23315633	390902	34773	21497396	0	1510139	308098	37003
SRR650909	Shoot_Apex	B73	NA	2	23584307	23166471	0	0	417836	22831751	313277	21443	21098850	0	1422019	310882	23511
SRR650910	Shoot_Apex	M0012	NA	2	23688403	23283719	0	0	404684	22869119	380562	34038	21165869	0	1403560	299690	35945
SRR650911	Shoot_Apex	M0014	NA	2	23044987	22709788	0	0	335199	22321306	355666	32816	20599169	0	1423989	298148	35334
SRR650912	Shoot_Apex	M0015	NA	2	23301097	22951519	0	0	349578	22561404	358587	31528	20886931	0	1373101	301372	33895
SRR650913	Shoot_Apex	M0016	NA	2	25213665	24841559	0	0	372106	24423120	384677	33762	22502526	0	1580662	339932	36370
SRR650914	Shoot_Apex	M0021	NA	2	21165990	20899267	0	0	266723	20557480	313666	28121	19006439	0	1282680	268361	30280
SRR650915	Shoot_Apex	M0022	NA	2	23827002	23524017	0	0	302985	23147727	343869	32421	21362500	0	1422299	362928	33963
SRR650916	Shoot_Apex	M0023	NA	2	21386349	21135379	0	0	250970	20773385	331978	30016	19097915	0	1393612	281858	32452
SRR650917	Shoot_Apex	M0024	NA	2	23020395	22717541	0	0	302854	22340105	347597	29839	20615788	0	1422042	302275	32101
SRR650918	Shoot_Apex	M0025	NA	2	21737372	21446668	0	0	290704	21105336	314404	26928	19469349	0	1354294	281693	29008
SRR650919	Shoot_Apex	M0017	NA	2	32434269	32001599	0	0	432670	31453783	496177	51639	28678628	0	2385014	390141	56123
SRR650920	Shoot_Apex	M0026	NA	2	27090375	26571620	0	0	518755	26119369	416264	35987	24080564	0	1704850	333955	38398
SRR650921	Shoot_Apex	M0028	NA	2	22373836	22086149	0	0	287687	21715207	339150	31792	20081649	0	1340864	292694	34279
SRR650922	Shoot_Apex	M0029	NA	2	22633294	22342437	0	0	290857	21970655	341131	30651	20316745	0	1347392	306518	33538
SRR650923	Shoot_Apex	M0030	NA	2	25206431	24876168	0	0	330263	24456794	385211	34163	22617341	0	1501343	338110	37012
SRR650924	Shoot_Apex	M0031	NA	2	27735290	27312608	0	0	422682	26860146	417461	35001	24919788	0	1581137	359221	38720
SRR650925	Shoot_Apex	M0032	NA	2	33307718	32322425	0	0	985293	31740417	530810	51198	29399396	0	1928961	412060	54180
SRR650926	Shoot_Apex	M0035	NA	2	26148733	25722624	0	0	426109	25290572	397431	34621	23585081	0	1376687	328804	39492
SRR650927	Shoot_Apex	M0033	NA	2	35051500	34041703	0	0	1009797	33424654	562858	54191	30885897	0	2092381	446376	57371
SRR650928	Shoot_Apex	M0034	NA	2	28741253	27895171	0	0	846082	27436139	422714	36318	25347541	0	1710414	378184	38405
SRR650929	Shoot_Apex	M0039	NA	2	21816445	21486750	0	0	329695	21116750	337762	32238	19502002	0	1331652	283096	35441
SRR650930	Shoot_Apex	M0040	NA	2	19997929	19712536	0	0	285393	19373089	309766	29681	17910294	0	1200700	262095	31803
SRR650931	Shoot_Apex	M0044	NA	2	21217518	20816588	0	0	400930	20447295	336122	33171	18844032	0	1313473	289790	36418
