SampleID	sid	Tissue	Genotype	Treatment	Replicate
mec03_44	me15b	Leaf	B73	T156	NA
mec03_45	me15b	Leaf	B73	T168	NA
mec03_46	me15b	Leaf	B73	T192	NA
mec03_47	me14c	seedling	B73	NA	NA
mec03_48	me14c	pollen	B73	NA	NA
mec03_49	me14c	embryosac	B73	NA	NA
mec03_50	me14c	ovule	B73	NA	NA
mec03_51	me14d	ligule_B	B73	NA	NA
mec03_52	me14d	ligule_L	B73	NA	NA
mec03_53	me14d	ligule_S	B73	NA	NA
mec03_54	me14d	ligule_wtL	B73	NA	NA
mec03_55	me14d	ligule_lg1	B73	NA	NA
mec03_56	me14d	ligule_B_L1	B73	NA	NA
mec03_57	me14d	ligule_L_L1	B73	NA	NA
mec03_58	me14d	ligule_S_L1	B73	NA	NA
mec03_59	me16b	seed_germ_24H	B73	NA	NA
mec03_60	me16b	root_primary_6DAS	B73	NA	NA
mec03_61	me16b	stem_SAM_V3	B73	NA	NA
mec03_62	me16b	leaf_tip_V5	B73	NA	NA
mec03_63	me16b	leaf_8_V9	B73	NA	NA
mec03_64	me16b	leaf_11_V9	B73	NA	NA
mec03_65	me16b	leaf_13_V9	B73	NA	NA
mec03_66	me16b	leaf_immature_V9	B73	NA	NA
mec03_67	me16b	leaf_13_VT	B73	NA	NA
mec03_68	me16b	leaf_13_R2	B73	NA	NA
mec03_69	me16b	seed_10DAP	B73	NA	NA
mec03_70	me16b	seed_12DAP	B73	NA	NA
mec03_71	me16b	endosperm_12DAP	B73	NA	NA
mec03_72	me16b	seed_14DAP	B73	NA	NA
mec03_73	me16b	endosperm_14DAP	B73	NA	NA
mec03_74	me16b	seed_16DAP	B73	NA	NA
mec03_75	me16b	endosperm_16DAP	B73	NA	NA
mec03_76	me16b	embryo_16DAP	B73	NA	NA
mec03_77	me16c	endosperm_12DAP	B73	NA	NA
mec03_78	me16c	pericarp	B73	NA	NA
mec03_79	me16c	endosperm_crown	B73	NA	NA
mec03_80	me16c	leaf_symmetrical	B73	NA	NA
mec03_81	me16c	leaf_stomatal	B73	NA	NA
mec03_82	me16c	leaf_growth	B73	NA	NA
mec03_83	me16c	embryo_20DAP	B73	NA	NA
mec03_84	me16c	embryo	B73	NA	NA
mec03_85	me16c	kernel_germ	B73	NA	NA
mec03_86	me16c	leaf_mature_8	B73	NA	NA
mec03_87	me16c	ear_6-8	B73	NA	NA
mec03_88	me16c	ear_2-4	B73	NA	NA
mec03_89	me16c	root_mz	B73	NA	NA
mec03_90	me16c	root_ez	B73	NA	NA
mec03_91	me16c	root_cortex	B73	NA	NA
mec03_92	me16c	root_primary	B73	NA	NA
mec03_93	me16c	root_secondary	B73	NA	NA
mec03_94	me16c	pollen	B73	NA	NA
mec03_95	me16c	silk	B73	NA	NA
mec03_96	me16c	spikelet	B73	NA	NA
mec03_97	me16c	internode_6-7	B73	NA	NA
mec03_98	me16c	internode_7-8	B73	NA	NA
mec03_99	me16c	meristem	B73	NA	NA
mec03_100	me18b	root III	B73	NA	NA
mec03_101	me18b	root II	B73	NA	NA
mec03_102	me18b	root I	B73	NA	NA
mec03_103	me99b	blade_v12	B73	NA	NA
mec03_104	me99b	auricle_v12	B73	NA	NA
mec03_105	me99b	sheath_v12	B73	NA	NA
mec03_106	me99b	internode_v12	B73	NA	NA
mec03_107	me99b	tassel_v12	B73	NA	NA
mec03_108	me99b	ear_v14	B73	NA	NA
mec03_109	me99b	silk_0DAP	B73	NA	NA
mec03_110	me99b	spikelets_0DAP	B73	NA	NA
mec03_111	me99b	husk_0DAP	B73	NA	NA
mec03_112	me99b	tasselstem_0DAP	B73	NA	NA
mec03_113	me99b	floret_0DAP	B73	NA	NA
mec03_114	me99b	kernel_14DAP	B73	NA	NA
mec03_115	me99b	flagleaf_0DAP	B73	NA	NA
mec03_116	me99b	root_0DAP	B73	NA	NA
mec03_117	me99b	endosperm_14DAP	B73	NA	NA
mec03_118	me99b	embryo_27DAP	B73	NA	NA
mec03_119	me99b	endosperm_27DAP	B73	NA	NA
mec03_120	me99b	coleoptile_tip	B73	NA	NA
mec03_121	me99b	radicle_root	B73	NA	NA
mec03_122	me99b	embryo_imbibedseed	B73	NA	NA
mec03_123	me99b	seedlingleaf_11DAS	B73	NA	NA
mec03_124	me99b	seedlingroot_11DAS	B73	NA	NA
mec03_125	me99b	seedlingmeristem_11DAS	B73	NA	NA
