Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
SRR650997	21826342.0	92.0	21455715.0	98.3	92.35	5570072.0	5393019.0	5507987.0	58693.0	942.0	2450.0	0.27	0.02	2.7	0.02	2.04	337547.0	1.55	1654.0	0.01	0.0	0.14	0.0	0	31426	0
SRR650998	25152866.0	92.0	24724923.0	98.3	92.28	6479117.0	6277696.0	6406365.0	68441.0	1173.0	3138.0	0.29	0.02	2.63	0.02	2.07	390105.0	1.55	1798.0	0.01	0.0	0.14	0.0	0	36040	0
SRR650999	24105730.0	92.0	23691672.0	98.28	92.27	6106624.0	5915577.0	6037786.0	65182.0	1167.0	2489.0	0.27	0.02	2.72	0.02	2.01	378633.0	1.57	2067.0	0.01	0.0	0.14	0.0	0	33358	0
SRR651000	22649956.0	96.0	22228755.0	98.14	96.59	6086075.0	5886605.0	6017658.0	64954.0	976.0	2487.0	0.29	0.02	2.71	0.02	2.09	359919.0	1.59	19533.0	0.09	0.0	0.18	0.0	0	41749	0
SRR651001	30921374.0	92.0	30398274.0	98.31	92.32	7876823.0	7625663.0	7788350.0	84015.0	1340.0	3118.0	0.25	0.02	2.63	0.02	2.0	477155.0	1.54	2226.0	0.01	0.0	0.14	0.0	0	43719	0
SRR651002	29930498.0	93.0	29419640.0	98.29	93.15	7865014.0	7611945.0	7777358.0	82835.0	1223.0	3598.0	0.29	0.02	2.57	0.02	2.07	462682.0	1.55	3264.0	0.01	0.0	0.15	0.0	0	44912	0
SRR651003	26768923.0	96.0	26308805.0	98.28	96.73	7253364.0	7028987.0	7172029.0	76720.0	1115.0	3500.0	0.3	0.02	2.75	0.02	2.05	420325.0	1.57	2756.0	0.01	0.0	0.14	0.0	0	37037	0
SRR651004	18205830.0	92.0	17892928.0	98.28	92.48	4655865.0	4509136.0	4603425.0	49205.0	762.0	2473.0	0.29	0.03	2.75	0.02	2.11	285243.0	1.57	1247.0	0.01	0.0	0.14	0.0	0	26412	0
SRR651005	15640256.0	91.0	15369908.0	98.27	91.45	3861250.0	3738365.0	3818326.0	40525.0	613.0	1786.0	0.31	0.02	2.76	0.02	2.13	245397.0	1.57	1593.0	0.01	0.0	0.15	0.0	0	23358	0
SRR651006	27847801.0	92.0	27360594.0	98.25	92.24	7327044.0	7105982.0	7247014.0	75970.0	1339.0	2721.0	0.28	0.02	2.72	0.02	2.06	444640.0	1.6	2118.0	0.01	0.0	0.14	0.0	0	40449	0
SRR651007	23741503.0	92.0	23335767.0	98.29	92.05	6153552.0	5964252.0	6084883.0	65305.0	1033.0	2331.0	0.27	0.02	2.64	0.01	1.97	370685.0	1.56	1775.0	0.01	0.0	0.14	0.0	0	33276	0
SRR651008	24079444.0	96.0	23670332.0	98.3	96.05	6455254.0	6258261.0	6384104.0	67345.0	1129.0	2676.0	0.3	0.02	2.77	0.02	2.05	373017.0	1.55	2542.0	0.01	0.0	0.14	0.0	0	33553	0
SRR651009	25832153.0	92.0	25402143.0	98.34	92.39	6807212.0	6594056.0	6731351.0	72360.0	1124.0	2377.0	0.24	0.02	2.64	0.01	1.95	392934.0	1.52	2316.0	0.01	0.0	0.13	0.0	0	34760	0
SRR651010	24011261.0	96.0	23523467.0	97.97	95.98	6463928.0	6264742.0	6390855.0	67319.0	1136.0	4618.0	0.51	0.04	2.84	0.03	2.34	437536.0	1.82	2759.0	0.01	0.0	0.2	0.0	0	47499	0
