Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
SRR650973	21979598.0	340205.0	2465.0	31456.0	0.0
SRR650974	25337689.0	400322.0	1938.0	34982.0	0.0
SRR650975	21464613.0	342573.0	3003.0	32467.0	0.0
SRR650976	22602908.0	360760.0	2329.0	31083.0	0.0
SRR650977	24142382.0	370390.0	6166.0	32395.0	0.0
SRR650978	29597710.0	473469.0	2425.0	43573.0	0.0
SRR650979	24800549.0	391615.0	2840.0	36107.0	0.0
SRR650980	25275741.0	378245.0	3038.0	34814.0	0.0
SRR650981	22635885.0	352591.0	13112.0	36427.0	0.0
SRR650982	12765681.0	199003.0	17386.0	27480.0	0.0
SRR650983	29183663.0	455296.0	3325.0	39906.0	0.0
SRR650984	25049479.0	421238.0	3109.0	40509.0	0.0
SRR650985	22912187.0	373986.0	2024.0	35233.0	0.0
SRR650986	25004020.0	402464.0	3165.0	35789.0	0.0
SRR650987	26775077.0	430845.0	2755.0	39463.0	0.0
SRR650988	29931980.0	474183.0	3421.0	44354.0	0.0
SRR650989	14826805.0	240835.0	1901.0	24349.0	0.0
SRR650990	23029549.0	347982.0	2860.0	32038.0	0.0
SRR650991	23301331.0	368831.0	3541.0	33622.0	0.0
SRR650992	26862185.0	408064.0	2615.0	35864.0	0.0
SRR650993	24295896.0	394349.0	3209.0	37589.0	0.0
SRR650994	22227584.0	359417.0	2171.0	33619.0	0.0
SRR650995	24787532.0	380656.0	1873.0	32285.0	0.0
SRR650996	23735258.0	377517.0	2307.0	32706.0	0.0
SRR650997	21455715.0	337547.0	1654.0	31426.0	0.0
SRR650998	24724923.0	390105.0	1798.0	36040.0	0.0
SRR650999	23691672.0	378633.0	2067.0	33358.0	0.0
SRR651000	22228755.0	359919.0	19533.0	41749.0	0.0
SRR651001	30398274.0	477155.0	2226.0	43719.0	0.0
SRR651002	29419640.0	462682.0	3264.0	44912.0	0.0
SRR651003	26308805.0	420325.0	2756.0	37037.0	0.0
SRR651004	17892928.0	285243.0	1247.0	26412.0	0.0
SRR651005	15369908.0	245397.0	1593.0	23358.0	0.0
SRR651006	27360594.0	444640.0	2118.0	40449.0	0.0
SRR651007	23335767.0	370685.0	1775.0	33276.0	0.0
SRR651008	23670332.0	373017.0	2542.0	33553.0	0.0
SRR651009	25402143.0	392934.0	2316.0	34760.0	0.0
SRR651010	23523467.0	437536.0	2759.0	47499.0	0.0
