Sample	Assigned	Unassigned_Unmapped	Unassigned_NoFeatures	Unassigned_Ambiguity
SRR650952	22081901.0	40576.0	1421042.0	316272.0
SRR650953	29464298.0	51230.0	1991149.0	408252.0
SRR650954	26698332.0	42701.0	1776036.0	384162.0
SRR650955	25401306.0	43769.0	1777654.0	372736.0
SRR650956	15213280.0	25308.0	983456.0	227708.0
SRR650957	21209078.0	32556.0	1458326.0	301290.0
SRR650958	22133166.0	41965.0	1546275.0	306790.0
SRR650959	22329806.0	33559.0	1480739.0	316394.0
SRR650960	19748868.0	32553.0	1427012.0	284312.0
SRR650961	21871718.0	34802.0	1513615.0	322917.0
SRR650962	18677489.0	30388.0	1265479.0	270156.0
SRR650963	18875781.0	28886.0	1359447.0	271811.0
SRR650964	26137627.0	39491.0	1793398.0	393674.0
SRR650965	24754529.0	38474.0	1701711.0	350306.0
SRR650966	24944370.0	42531.0	1752673.0	341843.0
SRR650967	23564827.0	35668.0	1640326.0	341247.0
SRR650968	19327099.0	36375.0	1315050.0	272932.0
SRR650969	20802770.0	34316.0	1484376.0	281908.0
SRR650970	13131642.0	20011.0	887167.0	184832.0
SRR650971	24505131.0	43235.0	1699860.0	354189.0
SRR650972	25025588.0	41628.0	1765710.0	354782.0
SRR650973	20177413.0	33921.0	1507087.0	295098.0
SRR650974	23486583.0	36920.0	1533047.0	318059.0
SRR650975	19805566.0	35470.0	1377120.0	281927.0
SRR650976	20891309.0	33412.0	1407212.0	304387.0
SRR650977	22261727.0	38561.0	1560942.0	319713.0
SRR650978	27295369.0	45998.0	1915129.0	387212.0
SRR650979	22900860.0	38947.0	1578276.0	321413.0
SRR650980	23347514.0	37852.0	1595584.0	332643.0
SRR650981	20864489.0	49539.0	1470392.0	301004.0
SRR650982	11787510.0	44866.0	806114.0	172057.0
SRR650983	26906346.0	43231.0	1894689.0	382628.0
SRR650984	23122693.0	43618.0	1602270.0	324516.0
SRR650985	21188670.0	37257.0	1410663.0	312854.0
SRR650986	23039324.0	38954.0	1635759.0	328937.0
SRR650987	24695027.0	42218.0	1737088.0	342962.0
SRR650988	27569915.0	47775.0	1956376.0	405689.0
SRR650989	13673894.0	26250.0	943672.0	209239.0
SRR650990	21317808.0	34898.0	1404875.0	306866.0
SRR650991	21586300.0	37163.0	1429558.0	285473.0
SRR650992	24733296.0	38479.0	1767928.0	360961.0
SRR650993	22411899.0	40798.0	1559118.0	324879.0
SRR650994	20529982.0	35790.0	1404526.0	293076.0
SRR650995	22902703.0	34158.0	1553111.0	331718.0
SRR650996	21840316.0	35013.0	1579611.0	315331.0
SRR650997	19788953.0	33080.0	1385685.0	281077.0
SRR650998	22856992.0	37838.0	1542490.0	325441.0
SRR650999	21823144.0	35425.0	1546412.0	322116.0
SRR651000	20530633.0	61282.0	1405335.0	292787.0
SRR651001	27988196.0	45945.0	2009401.0	400677.0
SRR651002	27183550.0	48176.0	1839421.0	396669.0
SRR651003	24360318.0	39793.0	1605902.0	342585.0
SRR651004	16503508.0	27659.0	1143677.0	245743.0
SRR651005	14245435.0	24951.0	921636.0	202837.0
SRR651006	25335471.0	42567.0	1665133.0	359990.0
SRR651007	21571619.0	35051.0	1456132.0	308016.0
SRR651008	21931145.0	36095.0	1428092.0	311095.0
SRR651009	23472960.0	37076.0	1603115.0	326068.0
SRR651010	21765616.0	50258.0	1456711.0	301140.0
