Sample	input_reads	surviving	surviving_pct	dropped	dropped_pct
SRR611221	38204012.0	37069331.0	97.03	1134681.0	2.97
SRR611243	32655208.0	31697614.0	97.07	957594.0	2.93
SRR611246	23998541.0	23366383.0	97.37	632158.0	2.63
SRR611247	38649604.0	37532687.0	97.11	1116917.0	2.89
SRR611252	30770642.0	29853263.0	97.02	917379.0	2.98
SRR611253	31111651.0	30242334.0	97.21	869317.0	2.79
SRR611259	32966908.0	32019014.0	97.12	947894.0	2.88
SRR611262	30719696.0	29854125.0	97.18	865571.0	2.82
SRR611264	27858032.0	27060689.0	97.14	797343.0	2.86
SRR611265	32254764.0	31379630.0	97.29	875134.0	2.71
SRR611266	37502973.0	36140571.0	96.37	1362402.0	3.63
SRR611268	29118738.0	28152274.0	96.68	966464.0	3.32
SRR611269	32653483.0	31725274.0	97.16	928209.0	2.84
SRR611270	42882688.0	41433614.0	96.62	1449074.0	3.38
SRR611271	37047290.0	35811129.0	96.66	1236161.0	3.34
SRR611272	21922252.0	21197871.0	96.7	724381.0	3.3
SRR611273	30566974.0	29602610.0	96.85	964364.0	3.15
SRR611274	32581490.0	31513608.0	96.72	1067882.0	3.28
SRR611275	32056265.0	31191373.0	97.3	864892.0	2.7
SRR611276	28685667.0	27925817.0	97.35	759850.0	2.65
SRR611277	31809165.0	30876901.0	97.07	932264.0	2.93
SRR611278	27183557.0	26413272.0	97.17	770285.0	2.83
SRR611287	27278858.0	26609771.0	97.55	669087.0	2.45
SRR611288	37520690.0	36595450.0	97.53	925240.0	2.47
SRR611289	35895251.0	34783954.0	96.9	1111297.0	3.1
SRR611290	36431635.0	35349902.0	97.03	1081733.0	2.97
SRR611291	33744211.0	32854317.0	97.36	889894.0	2.64
SRR611292	28645928.0	27790931.0	97.02	854997.0	2.98
SRR611293	30163195.0	29069292.0	96.37	1093903.0	3.63
SRR611294	18752374.0	18345881.0	97.83	406493.0	2.17
SRR611295	36449662.0	35075501.0	96.23	1374161.0	3.77
SRR611296	36936098.0	35613620.0	96.42	1322478.0	3.58
SRR611297	29234585.0	28502146.0	97.49	732439.0	2.51
SRR611298	33920755.0	32707013.0	96.42	1213742.0	3.58
SRR611299	28856378.0	28121321.0	97.45	735057.0	2.55
SRR611300	30514361.0	29574490.0	96.92	939871.0	3.08
SRR611301	32705478.0	31734294.0	97.03	971184.0	2.97
SRR611302	39724356.0	38274619.0	96.35	1449737.0	3.65
SRR611303	33305214.0	32403618.0	97.29	901596.0	2.71
SRR611304	33975698.0	33043146.0	97.26	932552.0	2.74
SRR611305	31973219.0	31087316.0	97.23	885903.0	2.77
SRR611306	19214680.0	18757247.0	97.62	457433.0	2.38
SRR611307	39437966.0	37912884.0	96.13	1525082.0	3.87
SRR611308	34377090.0	33089463.0	96.25	1287627.0	3.75
SRR611309	31023223.0	29849374.0	96.22	1173849.0	3.78
SRR611310	33902303.0	32653973.0	96.32	1248330.0	3.68
SRR611311	40149838.0	39047447.0	97.25	1102391.0	2.75
SRR611312	20051837.0	19299037.0	96.25	752800.0	3.75
SRR611313	30807267.0	29974709.0	97.3	832558.0	2.7
SRR611314	31302888.0	30495971.0	97.42	806917.0	2.58
SRR611315	35914436.0	34980218.0	97.4	934218.0	2.6
SRR611316	32840996.0	31716544.0	96.58	1124452.0	3.42
SRR611317	30069356.0	29252390.0	97.28	816966.0	2.72
SRR611318	32830598.0	31718045.0	96.61	1112553.0	3.39
SRR611319	31849004.0	30772707.0	96.62	1076297.0	3.38
SRR611320	28768793.0	27795780.0	96.62	973013.0	3.38
SRR611321	33168439.0	32068050.0	96.68	1100389.0	3.32
SRR611322	31839466.0	30755422.0	96.6	1084044.0	3.4
SRR611323	32127718.0	31203846.0	97.12	923872.0	2.88
SRR611324	40614830.0	39221747.0	96.57	1393083.0	3.43
SRR611325	39779333.0	38617581.0	97.08	1161752.0	2.92
SRR611326	35699291.0	34671407.0	97.12	1027884.0	2.88
SRR611327	24044299.0	23238924.0	96.65	805375.0	3.35
SRR611328	20631164.0	19915952.0	96.53	715212.0	3.47
SRR611329	36914939.0	35543807.0	96.29	1371132.0	3.71
SRR611330	31470347.0	30258852.0	96.15	1211495.0	3.85
SRR611331	32086529.0	31161694.0	97.12	924835.0	2.88
SRR611332	34148148.0	32926093.0	96.42	1222055.0	3.58
