SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	paired	spots	avgLength
SRR611274	SAM	M0248		1	m050	FALSE	32581490	103
SRR611275	SAM	M0262		1	m051	FALSE	32056265	110
SRR611276	SAM	M0264		1	m052	FALSE	28685667	110
SRR611277	SAM	M0265		1	m053	FALSE	31809165	110
SRR611278	SAM	M0266		1	m054	FALSE	27183557	110
SRR611287	SAM	M0267		1	m055	FALSE	27278858	110
SRR611288	SAM	M0269		1	m056	FALSE	37520690	110
SRR611289	SAM	M0270		1	m057	FALSE	35895251	103
SRR611290	SAM	M0272		1	m058	FALSE	36431635	110
SRR611291	SAM	M0275		1	m059	FALSE	33744211	103
SRR611292	SAM	M0276		1	m060	FALSE	28645928	110
SRR611293	SAM	M0278		1	m061	FALSE	30163195	103
SRR611294	SAM	M0281		1	m062	FALSE	18752374	110
SRR611295	SAM	M0284		1	m063	FALSE	36449662	103
SRR611296	SAM	M0287		1	m064	FALSE	36936098	103
SRR611297	SAM	M0288		1	m065	FALSE	29234585	103
SRR611298	SAM	M0289		1	m066	FALSE	33920755	103
SRR611299	SAM	M0296		1	m067	FALSE	28856378	103
SRR611300	SAM	M0297		1	m068	FALSE	30514361	110
SRR611301	SAM	M0298		1	m069	FALSE	32705478	110
SRR611302	SAM	M0303		1	m070	FALSE	39724356	103
SRR611303	SAM	M0310		1	m071	FALSE	33305214	103
SRR611304	SAM	M0311		1	m072	FALSE	33975698	103
SRR611305	SAM	M0315		1	m073	FALSE	31973219	103
SRR611306	SAM	M0317		1	m074	FALSE	19214680	110
SRR611307	SAM	M0322		1	m075	FALSE	39437966	103
SRR611308	SAM	M0323		1	m076	FALSE	34377090	103
SRR611309	SAM	M0325		1	m077	FALSE	31023223	103
SRR611310	SAM	M0326		1	m078	FALSE	33902303	103
SRR611311	SAM	M0329		1	m079	FALSE	40149838	103
SRR611312	SAM	M0337		1	m080	FALSE	20051837	103
SRR611313	SAM	M0341		1	m081	FALSE	30807267	103
SRR611314	SAM	M0344		1	m082	FALSE	31302888	103
SRR611315	SAM	M0345		1	m083	FALSE	35914436	103
SRR611316	SAM	M0346		1	m084	FALSE	32840996	103
SRR611317	SAM	M0349		1	m085	FALSE	30069356	103
SRR611318	SAM	M0352		1	m086	FALSE	32830598	103
SRR611319	SAM	M0354		1	m087	FALSE	31849004	103
SRR611320	SAM	M0355		1	m088	FALSE	28768793	103
SRR611321	SAM	M0357		1	m089	FALSE	33168439	103
SRR611322	SAM	M0360		1	m090	FALSE	31839466	103
SRR611323	SAM	M0364		1	m091	FALSE	32127718	110
