SampleID	Tissue	Genotype	Treatment	Replicate	paired
SRR6827815	seedling	DKMBZA		1	TRUE
SRR6827816	seedling	LH128		1	TRUE
SRR6827817	seedling	BSSSC0_038		1	TRUE
SRR6827818	seedling	LH197		1	TRUE
SRR6827819	seedling	Pa405		1	TRUE
SRR6827820	seedling	Ill.Hy		1	TRUE
SRR6827821	seedling	PHHB4		1	TRUE
SRR6827822	seedling	L222		1	TRUE
SRR6827823	seedling	790		1	TRUE
SRR6827824	seedling	NK794		1	TRUE
SRR6827825	seedling	A672		1	TRUE
SRR6827826	seedling	BSSSC0_058		1	TRUE
SRR6827827	seedling	LH188		1	TRUE
SRR6827828	seedling	PHW06		1	TRUE
SRR6827829	seedling	PHEW7		1	TRUE
SRR6827830	seedling	ND287		1	TRUE
SRR6827831	seedling	PHT11		1	TRUE
SRR6827832	seedling	PHFA5		1	TRUE
SRR6827833	seedling	PHR61		1	TRUE
SRR6827834	seedling	PHP38		1	TRUE
SRR6827835	seedling	PHMK0		1	TRUE
SRR6827836	seedling	LH231		1	TRUE
SRR6827837	seedling	BSSSC0_049		1	TRUE
SRR6827838	seedling	PHJR5		1	TRUE
SRR6827839	seedling	A344		1	TRUE
SRR6827840	seedling	PHG71		1	TRUE
SRR6827841	seedling	DKMM501D		1	TRUE
SRR6827842	seedling	NQ402		1	TRUE
SRR6827843	seedling	OS602		1	TRUE
SRR6827844	seedling	OQ603		1	TRUE
SRR6827845	seedling	PHHH9		1	TRUE
SRR6827846	seedling	PHG86		1	TRUE
SRR6827847	seedling	PHBA6		1	TRUE
SRR6827848	seedling	NK807		1	TRUE
SRR6827849	seedling	DK78551S		1	TRUE
SRR6827850	seedling	W602S		1	TRUE
SRR6827851	seedling	B57		1	TRUE
SRR6827852	seedling	PHN82		1	TRUE
SRR6827853	seedling	BSSSC0_021		1	TRUE
SRR6827854	seedling	ND259		1	TRUE
SRR6827855	seedling	904		1	TRUE
SRR6827856	seedling	DK87916W		1	TRUE
SRR6827857	seedling	BSSSC0_057		1	TRUE
SRR6827858	seedling	ICI 193		1	TRUE
SRR6827859	seedling	NC262		1	TRUE
SRR6827860	seedling	DK2MA22		1	TRUE
SRR6827861	seedling	LH193		1	TRUE
SRR6827862	seedling	BSSSC0_026		1	TRUE
SRR6827863	seedling	4F-403 JV 15		1	TRUE
SRR6827864	seedling	ICI 581		1	TRUE
SRR6827865	seedling	LH196		1	TRUE
SRR6827866	seedling	Va17		1	TRUE
SRR6827867	seedling	BSSSC0_046		1	TRUE
SRR6827868	seedling	MS1334		1	TRUE
SRR6827869	seedling	IDS91		1	TRUE
SRR6827870	seedling	4N506		1	TRUE
SRR6827871	seedling	J8606		1	TRUE
SRR6827872	seedling	NC328		1	TRUE
SRR6827873	seedling	LH185		1	TRUE
SRR6827874	seedling	B118		1	TRUE
SRR6827875	seedling	PHM81		1	TRUE
SRR6827876	seedling	PHVJ4		1	TRUE
SRR6827877	seedling	ZS635		1	TRUE
SRR6827878	seedling	LP1 NR Ht		1	TRUE
SRR6827879	seedling	07108Vbt		1	TRUE
SRR6827880	seedling	PHK74		1	TRUE
SRR6827881	seedling	NC260		1	TRUE
SRR6827882	seedling	PHKE6		1	TRUE
SRR6827883	seedling	DK2FACC		1	TRUE
SRR6827884	seedling	BSSSC0_054		1	TRUE
SRR6827885	seedling	BSSSC0_040		1	TRUE
SRR6827886	seedling	1538		1	TRUE
SRR6827887	seedling	PHK29		1	TRUE
SRR6827888	seedling	BSSSC0_008		1	TRUE
SRR6827889	seedling	F2		1	TRUE
SRR6827890	seedling	DK78010		1	TRUE
SRR6827891	seedling	DKMBST		1	TRUE
SRR6827892	seedling	LH210		1	TRUE
SRR6827893	seedling	PHAW6		1	TRUE
SRR6827894	seedling	BSSSC0_007		1	TRUE
SRR6827895	seedling	BSSSC0_051		1	TRUE
SRR6827896	seedling	BSSSC0_033		1	TRUE
SRR6827897	seedling	BSSSC0_002		1	TRUE
SRR6827898	seedling	A508		1	TRUE
SRR6827899	seedling	BSSSC0_041		1	TRUE
SRR6827900	seedling	911		1	TRUE
SRR6827901	seedling	LH190		1	TRUE
SRR6827902	seedling	DK6F629		1	TRUE
SRR6827903	seedling	BSSSC0_005		1	TRUE
SRR6827904	seedling	DK8M116		1	TRUE
SRR6827905	seedling	Va35		1	TRUE
SRR6827906	seedling	DKIB014		1	TRUE
SRR6827907	seedling	PHG83		1	TRUE
SRR6827908	seedling	WIL903		1	TRUE
SRR6827909	seedling	ICI 986		1	TRUE
SRR6827910	seedling	PHTD5		1	TRUE
SRR6827911	seedling	WD456		1	TRUE
SRR6827912	seedling	LE23		1	TRUE
SRR6827913	seedling	W10001_0010		1	TRUE
SRR6827914	seedling	NC310		1	TRUE
SRR6827915	seedling	LH216		1	TRUE
SRR6827916	seedling	BSSSC0_042		1	TRUE
SRR6827917	seedling	BSSSC0_060		1	TRUE
SRR6827918	seedling	NQ508		1	TRUE
SRR6827919	seedling	A322		1	TRUE
SRR6827920	seedling	912		1	TRUE
SRR6827921	seedling	DK3IBZ2		1	TRUE
SRR6827922	seedling	NC350		1	TRUE
SRR6827923	seedling	PHBW8		1	TRUE
SRR6827924	seedling	DKNL001		1	TRUE
SRR6827925	seedling	PHWG5		1	TRUE
SRR6827926	seedling	PHV37		1	TRUE
SRR6827927	seedling	PHP55		1	TRUE
SRR6827928	seedling	Pa91		1	TRUE
SRR6827929	seedling	INB 101LFY/LFY (A632 X M16 S5)		1	TRUE
SRR6827930	seedling	PHW20		1	TRUE
SRR6827931	seedling	Va59		1	TRUE
SRR6827932	seedling	N200		1	TRUE
SRR6827933	seedling	DK6M502		1	TRUE
SRR6827934	seedling	DK78002A		1	TRUE
SRR6827935	seedling	LH181		1	TRUE
SRR6827936	seedling	CMV3		1	TRUE
SRR6827937	seedling	A548		1	TRUE
SRR6827938	seedling	793		1	TRUE
SRR6827939	seedling	BSSSC0_025		1	TRUE
SRR6827940	seedling	LH214		1	TRUE
SRR6827941	seedling	CA-4		1	TRUE
SRR6827942	seedling	BSSSC0_039		1	TRUE
SRR6827943	seedling	LH150		1	TRUE
SRR6827944	seedling	N523		1	TRUE
SRR6827945	seedling	BSSSC0_036		1	TRUE
SRR6827946	seedling	BSSSC0_013		1	TRUE
SRR6827947	seedling	ICI 740		1	TRUE
SRR6827948	seedling	N540		1	TRUE
SRR6827949	seedling	BSSSC0_031		1	TRUE
SRR6827950	seedling	DKHB8229		1	TRUE
SRR6827951	seedling	LH60		1	TRUE
SRR6827952	seedling	AM0776		1	TRUE
SRR6827953	seedling	LH299		1	TRUE
SRR6827954	seedling	DKPB80		1	TRUE
SRR6827955	seedling	L 127		1	TRUE
SRR6827956	seedling	PHN73		1	TRUE
