SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	Timepoint	grp	tis	lab
G05	leaf_2	Mo17	cold	8	m5	77	Mo17_cold	""	Mo17_cold_77_
G06	leaf_2	Mo17	cold	9	m5	149	Mo17_cold	""	Mo17_cold_149_
G07	leaf_7	Mo17	cold	1	m8	149	Mo17_cold	leaf_7	Mo17_cold_149_leaf_7
G08	leaf_2	B73	control	24	m1	5	B73_control	""	B73_control_5_
G09	leaf_2	Mo17	control	17	m4	48	Mo17_control	""	Mo17_control_48_
G10	leaf_2	B73	control	25	m1	51	B73_control	""	B73_control_51_
G11	leaf_2	B73	cold	19	m2	77	B73_cold	""	B73_cold_77_
H01	leaf_2	Mo17	control	18	m4	5	Mo17_control	""	Mo17_control_5_
H02	leaf_2	Mo17	cold	10	m5	29	Mo17_cold	""	Mo17_cold_29_
H03	leaf_2	Mo17	cold	11	m5	29	Mo17_cold	""	Mo17_cold_29_
H05	leaf_2	Mo17	cold	12	m5	77	Mo17_cold	""	Mo17_cold_77_
H06	leaf_2	Mo17	cold	13	m5	149	Mo17_cold	""	Mo17_cold_149_
H07	leaf_3	Mo17	cold	1	m9	149	Mo17_cold	leaf_3	Mo17_cold_149_leaf_3
H08	leaf_2	Mo17	control	19	m4	5	Mo17_control	""	Mo17_control_5_
H09	leaf_2	Mo17	control	20	m4	48	Mo17_control	""	Mo17_control_48_
H10	leaf_2	B73	cold	20	m2	51	B73_cold	""	B73_cold_51_
H11	leaf_2	Mo17	cold	14	m5	77	Mo17_cold	""	Mo17_cold_77_
