SampleID	Tissue	Genotype	Treatment	Replicate	MergeID	Timepoint	Experiment	paired	spots	avgLength
NM92	leaf	MS71	Cold	2	m24	25	NM	TRUE	45424443	302
NM93	leaf	NC350	Cold	2	m25	25	NM	TRUE	35267460	302
NM94	leaf	NC358	Cold	2	m26	25	NM	TRUE	39030282	302
NM95	leaf	Oh43	Cold	2	m28	25	NM	TRUE	40316206	302
NM96	leaf	Oh7B	Cold	2	m29	25	NM	TRUE	38450578	302
NM97	leaf	P39	Cold	2	m30	25	NM	TRUE	31760711	302
NM98	leaf	PH207	Cold	2	m31	25	NM	TRUE	38208218	302
NM99	leaf	Tx303	Cold	2	m32	25	NM	TRUE	33106774	302
TC1	leaf	B73	Control	12	m01	0	TC	TRUE	28343684	302
TC10	leaf	B73	Cold	9	m06	0.5	TC	TRUE	30800085	302
TC11	leaf	Mo17	Cold	9	m07	0.5	TC	TRUE	28156234	302
TC12	leaf	W22	Cold	9	m08	0.5	TC	TRUE	26304460	302
TC13	leaf	B73	Control	13	m01	1	TC	TRUE	27286410	302
TC14	leaf	Mo17	Control	12	m17	1	TC	TRUE	22684509	302
TC15	leaf	W22	Control	12	m18	1	TC	TRUE	31603143	302
TC16	leaf	B73	Heat	7	m09	1	TC	TRUE	25468131	302
TC17	leaf	Mo17	Heat	7	m11	1	TC	TRUE	29905902	302
TC18	leaf	W22	Heat	7	m12	1	TC	TRUE	28023828	302
TC19	leaf	Mo17	Cold	10	m07	1	TC	TRUE	29554306	302
TC2	leaf	Mo17	Control	13	m17	0	TC	TRUE	30308227	302
TC20	leaf	B73	Cold	10	m06	1	TC	TRUE	33888404	302
TC21	leaf	W22	Cold	10	m08	1	TC	TRUE	28131045	302
TC22	leaf	B73	Control	14	m01	1.5	TC	TRUE	35233794	302
TC23	leaf	Mo17	Control	14	m17	1.5	TC	TRUE	30726929	302
TC24	leaf	B73	Heat	8	m09	1.5	TC	TRUE	32998707	302
TC25	leaf	Mo17	Heat	8	m11	1.5	TC	TRUE	28706589	302
TC26	leaf	B73	Cold	11	m06	1.5	TC	TRUE	26087579	302
TC27	leaf	Mo17	Cold	11	m07	1.5	TC	TRUE	34559699	302
TC28	leaf	B73	Control	15	m01	2	TC	TRUE	29813736	302
TC29	leaf	Mo17	Control	15	m17	2	TC	TRUE	33411227	302
TC3	leaf	W22	Control	13	m18	0	TC	TRUE	30582912	302
TC30	leaf	W22	Control	14	m18	2	TC	TRUE	28170151	302
TC31	leaf	B73	Heat	9	m09	2	TC	TRUE	36063443	302
TC32	leaf	Mo17	Heat	9	m11	2	TC	TRUE	31681143	302
TC33	leaf	W22	Heat	8	m12	2	TC	TRUE	30141573	302
TC34	leaf	B73	Cold	12	m06	2	TC	TRUE	33144134	302
TC35	leaf	Mo17	Cold	12	m07	2	TC	TRUE	27088264	302
TC36	leaf	W22	Cold	11	m08	2	TC	TRUE	33111640	302
TC37	leaf	B73	Control	16	m01	3	TC	TRUE	31012888	302
TC38	leaf	Mo17	Control	16	m17	3	TC	TRUE	32506158	302
TC39	leaf	B73	Heat	10	m09	3	TC	TRUE	33925051	302
TC4	leaf	B73	Control	17	m01	0.5	TC	TRUE	30806368	302
TC40	leaf	Mo17	Heat	10	m11	3	TC	TRUE	27789168	302
TC41	leaf	B73	Cold	13	m06	3	TC	TRUE	35693289	302
TC42	leaf	Mo17	Cold	13	m07	3	TC	TRUE	27961628	302
TC43	leaf	B73	Control	18	m01	4	TC	TRUE	39407587	302
TC44	leaf	Mo17	Control	17	m17	4	TC	TRUE	35829646	302
TC45	leaf	W22	Control	15	m18	4	TC	TRUE	28384112	302
TC46	leaf	B73	Heat	11	m09	4	TC	TRUE	29210663	302
TC47	leaf	Mo17	Heat	11	m11	4	TC	TRUE	35666622	302
TC48	leaf	W22	Heat	9	m12	4	TC	TRUE	28542017	302
TC49	leaf	B73	Cold	14	m06	4	TC	TRUE	27918671	302
TC5	leaf	Mo17	Control	18	m17	0.5	TC	TRUE	33126834	302
TC50	leaf	Mo17	Cold	14	m07	4	TC	TRUE	30404610	302
TC51	leaf	W22	Cold	12	m08	4	TC	TRUE	31189531	302
TC52	leaf	B73	Control	19	m01	8	TC	TRUE	31533181	302
TC53	leaf	Mo17	Control	19	m17	8	TC	TRUE	29679915	302
TC54	leaf	B73	Heat	12	m09	8	TC	TRUE	36428409	302
TC55	leaf	Mo17	Heat	12	m11	8	TC	TRUE	34007467	302
TC56	leaf	B73	Cold	15	m06	8	TC	TRUE	27282104	302
TC57	leaf	Mo17	Cold	15	m07	8	TC	TRUE	25273720	302
TC58	leaf	B73	Control	20	m01	25	TC	TRUE	34520505	302
TC59	leaf	Mo17	Control	20	m17	25	TC	TRUE	29074129	302
TC6	leaf	W22	Control	16	m18	0.5	TC	TRUE	27285147	302
TC60	leaf	W22	Control	17	m18	25	TC	TRUE	43620145	302
TC61	leaf	B73	Heat	13	m09	25	TC	TRUE	27136414	302
TC62	leaf	Mo17	Heat	13	m11	25	TC	TRUE	27765709	302
TC63	leaf	W22	Heat	10	m12	25	TC	TRUE	34991576	302
TC64	leaf	B73	Cold	16	m06	25	TC	TRUE	31567752	302
TC65	leaf	Mo17	Cold	16	m07	25	TC	TRUE	35876764	302
TC66	leaf	W22	Cold	13	m08	25	TC	TRUE	33024336	302
TC7	leaf	B73	Heat	14	m09	0.5	TC	TRUE	29563739	302
TC8	leaf	Mo17	Heat	14	m11	0.5	TC	TRUE	27394405	302
TC9	leaf	W22	Heat	11	m12	0.5	TC	TRUE	31413373	302
NM100	leaf	W22	Cold	7	m08	25	HY	TRUE	26906448	302
NM76	leaf	B73	Cold	8	m06	25	HY	TRUE	27279924	302
TC64	leaf	B73	Cold	16	m06	25	HY	TRUE	31567752	302
TC66	leaf	W22	Cold	13	m08	25	HY	TRUE	33024336	302
