SampleID	Tissue	Genotype	Treatment	Replicate	total	passed	failed	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
SRR767679	unknown	Hp301	NA	3	25001232	24248132	753100	24248132	0	0	23081314	21723317	13076989	13972344	0	0	0	0	1166818	0	0	0	0	0	0	0	0	20627280	3733694	889418	206619	1166818
SRR767680	unknown	Ky21	NA	1	26260623	25432363	828260	25432363	0	0	23980373	22318801	13603422	14684924	0	0	0	0	1451990	0	0	0	0	0	0	0	0	21220563	5001845	879751	218487	1451990
SRR767682	unknown	M37w	NA	3	26066928	25251303	815625	25251303	0	0	23889296	22163437	13282798	14404089	0	0	0	0	1362007	0	0	0	0	0	0	0	0	21076990	5086276	865651	220796	1362007
SRR767683	unknown	MR01	NA	1	33293971	32245418	1048553	32245418	0	0	30473632	28691091	16384282	17419384	0	0	0	0	1771786	0	0	0	0	0	0	0	0	26997453	5462431	1388175	305463	1771786
SRR767684	unknown	MR02	NA	1	22701337	22014021	687316	22014021	0	0	20794886	19414353	11237982	11985765	0	0	0	0	1219135	0	0	0	0	0	0	0	0	18423371	3785072	794890	196092	1219135
SRR767685	unknown	MR10	NA	1	30073450	29057071	1016379	29057071	0	0	27485930	25692178	14837401	15789765	0	0	0	0	1571141	0	0	0	0	0	0	0	0	24379107	5131328	1069741	243330	1571141
SRR767686	unknown	MR18	NA	1	31043442	30075879	967563	30075879	0	0	28425849	26708832	15136903	16184770	0	0	0	0	1650030	0	0	0	0	0	0	0	0	25120223	4903193	1318085	270524	1650030
SRR767687	unknown	MR20	NA	1	32141650	31091998	1049652	31091998	0	0	29537593	27601241	16524908	17815843	0	0	0	0	1554405	0	0	0	0	0	0	0	0	25991584	5449068	1356186	253471	1554405
SRR767688	unknown	MR22	NA	1	30555562	29574579	980983	29574579	0	0	28120462	26396740	15519452	16621684	0	0	0	0	1454117	0	0	0	0	0	0	0	0	24931801	4759108	1196007	268932	1454117
SRR767689	unknown	MR25	NA	1	31394449	30346988	1047461	30346988	0	0	28801586	27054595	15684407	16747712	0	0	0	0	1545402	0	0	0	0	0	0	0	0	25414886	4775133	1385856	253853	1545402
SRR767690	unknown	Oh7b	NA	2	26354947	25519304	835643	25519304	0	0	23985693	22497088	13860138	14714992	0	0	0	0	1533611	0	0	0	0	0	0	0	0	21377190	4335233	898643	221255	1533611
SRR767691	unknown	Oh7b	NA	3	27042424	26182451	859973	26182451	0	0	24864867	23386251	14479993	15309747	0	0	0	0	1317584	0	0	0	0	0	0	0	0	22251751	4084805	912806	221694	1317584
SRR767692	unknown	TIL01	NA	1	32746e3	31607047	1138953	31607047	0	0	29742585	27769367	13718917	14820053	0	0	0	0	1864462	0	0	0	0	0	0	0	0	26448137	5123845	1020910	300320	1864462
SRR767693	unknown	TIL06	NA	1	33196714	32119192	1077522	32119192	0	0	29962464	28079702	13950136	14978067	0	0	0	0	2156728	0	0	0	0	0	0	0	0	26660017	5392895	1130302	289383	2156728
SRR767694	unknown	TIL07	NA	1	30048309	29063295	985014	29063295	0	0	27241058	25467035	12829912	13846645	0	0	0	0	1822237	0	0	0	0	0	0	0	0	24268973	5142476	931459	266603	1822237
SRR767695	unknown	TIL09	NA	1	34970995	33862428	1108567	33862428	0	0	31700470	29506788	14714082	15924048	0	0	0	0	2161958	0	0	0	0	0	0	0	0	27848383	6520943	1352546	305859	2161958
SRR767696	unknown	TIL11	NA	1	22214335	21551740	662595	21551740	0	0	20275965	19022215	9721096	10338854	0	0	0	0	1275775	0	0	0	0	0	0	0	0	18106796	3459531	733825	181594	1275775
SRR767697	unknown	TIL14	NA	1	21011623	20372626	638997	20372626	0	0	19181908	17759507	8830788	9515559	0	0	0	0	1190718	0	0	0	0	0	0	0	0	16910519	3934511	665101	183887	1190718
