SampleID	Tissue	Genotype	Treatment	Replicate	total	passed	failed	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap	Assigned	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Unassigned_Unmapped
E11	leaf_2	B73	day12_4pm_control	2	5294487	5240230	54257	0	0	0	0	0	0	0	0	0	0	0	0	5240230	0	0	5139247	4818361	3366774	3588029	100983	3682949	0	1055575	79837	100983
E12	leaf_2	B73	day15_4pm_cold	2	3325422	3297318	28104	0	0	0	0	0	0	0	0	0	0	0	0	3297318	0	0	3121582	2914619	2023321	2148407	175736	2141439	0	720575	52605	175736
F01	leaf_2	B73	day9_4pm_control	2	3648646	3617097	31549	0	0	0	0	0	0	0	0	0	0	0	0	3617097	0	0	3404897	3067526	2078616	2287129	212200	2199351	0	815547	52628	212200
F02	leaf_2	B73	day10_4pm_cold	2	5111614	5051754	59860	0	0	0	0	0	0	0	0	0	0	0	0	5051754	0	0	4740835	4261814	2947181	3241093	310919	3000051	0	1194003	67760	310919
F03	leaf_2	Mo17	day10_4pm_control	3	4159601	4130939	28662	0	0	0	0	0	0	0	0	0	0	0	0	4130939	0	0	3683014	3338776	1592316	1760511	447925	2415783	0	861056	61937	447925
F04	leaf_2	B73	day11_4pm_control	4	5055582	5021911	33671	0	0	0	0	0	0	0	0	0	0	0	0	5021911	0	0	4897682	4597878	3238547	3444357	124229	3485058	0	1038035	74785	124229
F05	leaf_2	B73	day12_4pm_cold	2	6826258	6779838	46420	0	0	0	0	0	0	0	0	0	0	0	0	6779838	0	0	6624236	6240263	4354262	4618427	155602	4697067	0	1435303	107893	155602
F06	leaf_2	B73	day15_4pm_cold	3	5131163	5086982	44181	0	0	0	0	0	0	0	0	0	0	0	0	5086982	0	0	4966842	4622251	3226279	3461866	120140	3506271	0	1029308	86672	120140
F07	leaf_3	B73	day15_4pm_cold	2	3640501	3545278	95223	0	0	0	0	0	0	0	0	0	0	0	0	3545278	0	0	3387701	3220729	2232839	2340322	157577	2323905	0	836760	60064	157577
F08	leaf_2	B73	day9_2pm_cold	1	4196335	4151726	44609	0	0	0	0	0	0	0	0	0	0	0	0	4151726	0	0	3907387	3415257	2361648	2665006	244339	2537859	0	819240	58158	244339
F09	leaf_2	B73	day11_11am_control	3	2387084	2340858	46226	0	0	0	0	0	0	0	0	0	0	0	0	2340858	0	0	2231781	2062535	1416883	1524225	109077	1575971	0	449841	36723	109077
F10	leaf_2	B73	day11_12pm_cold	1	6642905	6576426	66479	0	0	0	0	0	0	0	0	0	0	0	0	6576426	0	0	6384688	5922417	4094357	4406619	191738	4411934	0	1411725	98758	191738
