SampleID	Tissue	Genotype	Treatment	Replicate	paired	r0	r1	r2
tBR584	leaf_V2	B73	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR584_S31_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR584_S31_R2_001.fastq.gz
tBR586	leaf_V2	B84	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR586_S32_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR586_S32_R2_001.fastq.gz
tBR587	leaf_V2	B84	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR587_S15_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR587_S15_R2_001.fastq.gz
tBR588	leaf_V2	B84	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR588_S16_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR588_S16_R2_001.fastq.gz
tBR590	leaf_V2	Mo17	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR590_S17_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR590_S17_R2_001.fastq.gz
tBR591	leaf_V2	Mo17	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR591_S18_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool3/tBR591_S18_R2_001.fastq.gz
tBR592	leaf_V2	Mo17	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR592_S33_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR592_S33_R2_001.fastq.gz
tBR594	leaf_V2	A682	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR594_S34_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR594_S34_R2_001.fastq.gz
tBR595	leaf_V2	A682	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR595_S35_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR595_S35_R2_001.fastq.gz
tBR596	leaf_V2	A682	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR596_S36_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191014_A00223_0231_AHG22WDRXX/Springer_Project_065_Pool4/tBR596_S36_R2_001.fastq.gz
tBR598	leaf_V2	B73xMo17	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR598_S1_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR598_S1_R2_001.fastq.gz
tBR599	leaf_V2	B73xMo17	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR599_S2_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR599_S2_R2_001.fastq.gz
tBR600	leaf_V2	B73xMo17	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR600_S3_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR600_S3_R2_001.fastq.gz
tBR602	leaf_V2	Mo17xB73	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR602_S4_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR602_S4_R2_001.fastq.gz
tBR603	leaf_V2	Mo17xB73	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR603_S5_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR603_S5_R2_001.fastq.gz
tBR604	leaf_V2	Mo17xB73	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR604_S6_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR604_S6_R2_001.fastq.gz
tBR606	leaf_V2	B84xB73	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR606_S7_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR606_S7_R2_001.fastq.gz
tBR607	leaf_V2	B84xB73	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR607_S8_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR607_S8_R2_001.fastq.gz
tBR608	leaf_V2	B84xB73	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR608_S9_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR608_S9_R2_001.fastq.gz
tBR610	leaf_V2	B84xMo17	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR610_S10_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR610_S10_R2_001.fastq.gz
tBR611	leaf_V2	B84xMo17	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR611_S11_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR611_S11_R2_001.fastq.gz
tBR612	leaf_V2	B84xMo17	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR612_S12_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR612_S12_R2_001.fastq.gz
tBR614	leaf_V2	A682xB73	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR614_S13_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR614_S13_R2_001.fastq.gz
tBR615	leaf_V2	A682xB73	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR615_S14_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR615_S14_R2_001.fastq.gz
tBR616	leaf_V2	A682xB73	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR616_S15_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR616_S15_R2_001.fastq.gz
tBR618	leaf_V2	A682xMo17	t	2	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR618_S16_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR618_S16_R2_001.fastq.gz
tBR619	leaf_V2	A682xMo17	t	3	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR619_S17_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR619_S17_R2_001.fastq.gz
tBR620	leaf_V2	A682xMo17	t	4	PE		/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR620_S18_R1_001.fastq.gz	/home/springer/zhoux379/projects/s3/zhoup-barn/zm.rn20b/191023_A00223_0239_AHGLLLDRXX/Springer_Project_065_Pool5/tBR620_S18_R2_001.fastq.gz
